award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
abel_prize-000001,2003,,Abel Prize,"For playing a key role in shaping the modern form of many parts of mathematics, including topology, algebraic geometry and number theory.",,,,Jean-Pierre Serre,1926-09-15,1926,Bages,France,"2.8969,42.6058",France,Male,Collège de France,Paris,France,"2.3456,48.8492",,,,,,
abel_prize-000002,2004,,Abel Prize,"For their discovery and proof of the index theorem, bringing together topology, geometry and analysis, and their outstanding role in building new bridges between mathematics and theoretical physics.",,,,Michael Atiyah,1929-04-22,1929,London,United Kingdom,"-0.1275,51.5072",United Kingdom,Male,University of Edinburgh,Edinburgh,United Kingdom,"-3.1872,55.9474",2019-01-11,Edinburgh,United Kingdom,,,
abel_prize-000003,2004,,Abel Prize,"For their discovery and proof of the index theorem, bringing together topology, geometry and analysis, and their outstanding role in building new bridges between mathematics and theoretical physics.",,,,Isadore Singer,1924-05-03,1924,Detroit,United States,"-83.0475,42.3317",United States,Male,Massachusetts Institute of Technology,Cambridge,United States,"-71.0919,42.3597",2021-02-11,Boxborough,United States,,,
abel_prize-000004,2005,,Abel Prize,For his groundbreaking contributions to the theory and application of partial differential equations and to the computation of their solutions.,,,,Peter Lax,1926-05-01,1926,Budapest,Hungary,"19.0408,47.4983",Hungary; United States,Male,Courant Institute of Mathematical Sciences,New York,United States,"-73.9955,40.7286",2025-05-16,New York,United States,,,
abel_prize-000005,2006,,Abel Prize,For his profound and seminal contributions to harmonic analysis and the theory of smooth dynamical systems.,,,,Lennart Carleson,1928-03-18,1928,Stockholm,Sweden,"18.0686,59.3294",Sweden,Male,Royal Institute of Technology,Stockholm,Sweden,"18.0728,59.3472",,,,,,
abel_prize-000006,2007,,Abel Prize,For his fundamental contributions to probability theory and in particular for creating a unified theory of large deviation.,,,,S. R. Srinivasa Varadhan,1940-01-02,1940,Chennai,India,"80.2750,13.0825",India; United States,Male,Courant Institute of Mathematical Sciences,New York,United States,"-73.9955,40.7286",,,,,,
abel_prize-000007,2008,,Abel Prize,For their profound achievements in algebra and in particular for shaping modern group theory.,,,,John G. Thompson,1932-10-13,1932,Ottawa,United States,"-95.2664,38.6119",United States,Male,University of Florida,Gainesville,United States,"-82.3450,29.6475",,,,,,
abel_prize-000008,2008,,Abel Prize,For their profound achievements in algebra and in particular for shaping modern group theory.,,,,Jacques Tits,1930-08-12,1930,Uccle,Belgium,"4.3339,50.8036",France; Belgium,Male,Collège de France,Paris,France,"2.3456,48.8492",2021-12-05,Paris,France,,,
abel_prize-000009,2009,,Abel Prize,For his revolutionary contributions to geometry.,,,,Mikhail Gromov,1943-12-23,1943,Boksitogorsk,Russia,"33.8478,59.4736",France; Russia,Male,Institut des Hautes Études Scientifiques,Bures-sur-Yvette,France,"2.1691,48.6950",,,,,,
abel_prize-000010,2010,,Abel Prize,For his vast and lasting impact on the theory of numbers.,,,,John Tate,1925-03-13,1925,Minneapolis,United States,"-93.2692,44.9819",United States,Male,University of Texas at Austin,Austin,United States,"-97.7394,30.2861",2019-10-16,Lexington,United States,,,
abel_prize-000011,2011,,Abel Prize,"For pioneering discoveries in topology, geometry, and algebra.",,,,John Milnor,1931-02-20,1931,Orange,United States,"-74.2357,40.7680",United States,Male,Stony Brook University,Stony Brook,United States,"-73.1246,40.9173",,,,,,
abel_prize-000012,2012,,Abel Prize,"For his fundamental contributions to discrete mathematics and theoretical computer science, and in recognition of the profound and lasting impact of these contributions on additive number theory and ergodic theory.",,,,Endre Szemerédi,1940-08-21,1940,Budapest,Hungary,"19.0408,47.4983",Hungary; United States,Male,Rutgers University,New Brunswick,United States,"-74.4481,40.5017",,,,,,
abel_prize-000013,2013,,Abel Prize,"For seminal contributions to algebraic geometry and for their transformative impact on number theory, representation theory, and related fields.",,,,Pierre Deligne,1944-10-03,1944,Etterbeek,Belgium,"4.3861,50.8361",Belgium,Male,Institute for Advanced Study,Princeton,United States,"-74.6678,40.3317",,,,,,
abel_prize-000014,2014,,Abel Prize,"For his fundamental contributions to dynamical systems, ergodic theory, and mathematical physics.",,,,Yakov Sinai,1935-09-21,1935,Moscow,Russia,"37.6175,55.7506",Russia; United States,Male,Princeton University,Princeton,United States,"-74.6561,40.3453",,,,,,
abel_prize-000015,2015,,Abel Prize,For striking and seminal contributions to the theory of nonlinear partial differential equations and its applications to geometric analysis.,,,,John F. Nash Jr.,1928-06-13,1928,Bluefield,United States,"-81.2186,37.2622",United States,Male,Princeton University,Princeton,United States,"-74.6561,40.3453",2015-05-23,Monroe Township,United States,,,
abel_prize-000016,2015,,Abel Prize,For striking and seminal contributions to the theory of nonlinear partial differential equations and its applications to geometric analysis.,,,,Louis Nirenberg,1925-02-28,1925,Hamilton,Canada,"-79.8692,43.2567",Canada; United States,Male,Courant Institute of Mathematical Sciences,New York,United States,"-73.9955,40.7286",2020-01-26,Manhattan,United States,,,
abel_prize-000017,2016,,Abel Prize,"For his stunning proof of Fermat's Last Theorem by way of the modularity conjecture for semistable elliptic curves, opening a new era in number theory.",,,,Andrew Wiles,1953-04-11,1953,Cambridge,United Kingdom,"0.1225,52.2081",United Kingdom,Male,University of Oxford,Oxford,United Kingdom,"-1.2550,51.7550",,,,,,
abel_prize-000018,2017,,Abel Prize,For his pivotal role in the development of the mathematical theory of wavelets.,,,,Yves Meyer,1939-07-19,1939,Paris,France,"2.3522,48.8567",France,Male,École Normale Supérieure Paris-Saclay,Cachan,France,"2.3253,48.7891",,,,,,
abel_prize-000019,2018,,Abel Prize,For his visionary program connecting representation theory to number theory.,,,,Robert Langlands,1936-10-06,1936,New Westminster,Canada,"-122.9110,49.2069",Canada; United States,Male,Institute for Advanced Study,Princeton,United States,"-74.6678,40.3317",,,,,,
abel_prize-000020,2019,,Abel Prize,"For her pioneering achievements in geometric partial differential equations, gauge theory and integrable systems, and for the fundamental impact of her work on analysis, geometry and mathematical physics.",,,,Karen Uhlenbeck,1942-08-24,1942,Cleveland,United States,"-81.6947,41.4992",United States,Female,University of Texas at Austin,Austin,United States,"-97.7394,30.2861",,,,,,
abel_prize-000021,2020,,Abel Prize,"For pioneering the use of methods from probability and dynamics in group theory, number theory and combinatorics.",,,,Hillel Furstenberg,1935-09-29,1935,Berlin,Germany,"13.3833,52.5167",Israel; United States,Male,Hebrew University of Jerusalem,Jerusalem,Israel,"35.2000,31.7758",,,,,,
abel_prize-000022,2020,,Abel Prize,"For pioneering the use of methods from probability and dynamics in group theory, number theory and combinatorics.",,,,Grigory Margulis,1946-02-24,1946,Moscow,Russia,"37.6175,55.7506",United States,Male,Yale University,New Haven,United States,"-72.9267,41.3111",,,,,,
