award_record_id	full_name	birth_city	birth_country	birth_coordinates	reverse_country
breakthrough-000010	Alexander Polyakov	Stalingrad	Russia	2.366,48.8843	France
breakthrough-000025	Alexander Varshavsky	Moscow	Russia	30.9833,52.4417	Беларусь
breakthrough-000028	Michael N. Hall	Puerto Rico	United States	8.5411,47.3744	Schweiz/Suisse/Svizzera/Svizra
breakthrough-000030	Robert S. Langer	Norfolk	United States	0.9487,52.6727	United Kingdom
breakthrough-000035	Victor Ambros	Portsmouth	United States	-1.0872,50.8058	United Kingdom
breakthrough-000039	Simon Donaldson	Donegal	United Kingdom	-8.117,54.65	Éire / Ireland
breakthrough-000042	Arthur B. McDonald	Sydney	Canada	151.2100,-33.8678	Australia
breakthrough-000083	Franz-Ulrich Hartl	Essen	Germany	7.5906,47.5606	Schweiz/Suisse/Svizzera/Svizra
breakthrough-000084	Jeffrey M. Friedman	Orlando	United States	1.2928,52.6286	United Kingdom
gairdner_international_award-000011	Karl Meyer	Kerpen	Germany	7.5906,47.5606	Schweiz/Suisse/Svizzera/Svizra
gairdner_international_award-000163	Yuet Wai Kan	British Hong Kong	United Kingdom	114.1603,22.2801	中国
gairdner_international_award-000178	T. Geoffrey Flynn	Kingston	Canada	-76.7931,17.9714	Jamaica
japan_prize-000019	Xavier Le Pichon	Quy Nhơn	Vietnam	45.12,-12.7019	France
japan_prize-000059	John Houghton	Dyserth	United Kingdom	10.7183,50.9489	Deutschland
japan_prize-000096	Rattan Lal	Karyal	India	85.2669,59.5111	Россия
kyoto_prize-000007	Morris Cohen	Chelsea	United States	-0.1684,51.4875	United Kingdom
lasker_awards-000050	Robert E. Gross	Bolton	United States	-2.4300,53.5783	United Kingdom
lasker_awards-000059	Morley Cohen	Hungary	Hungary	-97.1386,49.8956	Canada
lasker_awards-000064	Robert D. Defries	Magherafelt	United Kingdom	-79.3867,43.6703	Canada
lasker_awards-000066	Karl Meyer	Kerpen	Germany	17.0325,51.1100	Polska
lasker_awards-000069	Louis N. Katz	Pinsk	Belarus	-74.0061,40.7128	United States
lasker_awards-000085	Heinz Fraenkel-Conrat	Breslau	Germany	17.0325,51.1100	Polska
lasker_awards-000092	Jules Freund	Verbilki	Russia	19.0408,47.4983	Magyarország
lasker_awards-000103	Maurice Hugh Frederick Wilkins	Pongaroa	New Zealand	-0.1275,51.5072	United Kingdom
lasker_awards-000125	Bernard B. Brodie	Liverpool	United Kingdom	-74.0061,40.7128	United States
lasker_awards-000127	Claude Pepper	Dudley	United Kingdom	-85.6,32.915	United States
lasker_awards-000128	Har Gobind Khorana	Raipur	Pakistan	81.6337,21.2379	India
lasker_awards-000130	William F. Windle		United States	-1.2578,51.7519	United Kingdom
lasker_awards-000144	Edmund Klein	Vienna	Austria	-74.0061,40.7128	United States
lasker_awards-000153	Paul P. Carbone	Racine	United States	0.0858,51.5575	United Kingdom
lasker_awards-000162	Ludwik Gross	Kletsk	Belarus	19.9372,50.0614	Polska
lasker_awards-000179	C. Hellmuth Hertz	Berlin	Germany	-122.4194,37.7750	United States
lasker_awards-000182	John Hughes	Ponders End	United Kingdom	-84.5467,42.7335	United States
lasker_awards-000184	Emil C. Gotschlich	Bangkok	Thailand	-87.6278,41.8819	United States
lasker_awards-000192	John Foster Wilson	Titusville	United States	-1.1492,52.955	United Kingdom
lasker_awards-000226	Rita Levi-Montalcini	Turin	Italy	-8.6108,41.1500	Portugal
lasker_awards-000242	Michael Berridge	Kadoma	Zimbabwe	-0.1275,51.5072	United Kingdom
lasker_awards-000248	Yuet Wai Kan	British Hong Kong	United Kingdom	114.1950,22.2550	中国
lasker_awards-000259	Emil R. Unanue	Havana	Cuba	-5.9950,37.3886	España
lasker_awards-000286	Miguel Ondetti	Huamanga	Peru	-58.3819,-34.5997	Argentina
lasker_awards-000310	Marc Feldmann	Lviv	Ukraine	-0.1275,51.5072	United Kingdom
lasker_awards-000325	Jack W. Szostak	London	United Kingdom	-73.5868,45.5033	Canada
lasker_awards-000334	Victor Ambros	Portsmouth	United States	-1.0872,50.8058	United Kingdom
lasker_awards-000341	Nicholas Lydon		United Kingdom	-98.5795,39.8282	United States
lasker_awards-000381	Michael N. Hall	Puerto Rico	United States	8.5411,47.3744	Schweiz/Suisse/Svizzera/Svizra
max_planck_medal-000045	Kurt Symanzik	East Prussia	Germany	20.5100,54.7100	Россия
max_planck_medal-000059	Siegfried Grossmann	Severnaya Gora	Germany	20.5458,54.7611	Россия
max_planck_medal-000072	Detlev Buchholz	Gdańsk	Germany	18.654,54.3483	Polska
nobel-000016	Niels Ryberg Finsen	Thorshavn	Denmark	-6.7741,62.0109	Føroyar
nobel-000071	Gerhart Johann Robert Hauptmann	Bad Salzbrunn	Germany	16.2566,50.8035	Polska
nobel-000097	Johannes Stark	Schickenhof	Germany	15.1028,48.6067	Österreich
nobel-000098	Walther Hermann Nernst	Briesen	Germany	18.95,53.2833	Polska
nobel-000117	John James Rickard Macleod	Cluny	United Kingdom	4.6649,46.4291	France
nobel-000302	Albert Camus	Mondovi	Algeria	7.8195,44.3951	Italia
nobel-000388	Har Gobind Khorana	Raipur	Pakistan	81.6297,21.2518	India
nobel-000528	Aaron Klug	Zelvas	Lithuania	24.8165,53.1483	Беларусь
nobel-000813	Martti Ahtisaari	Viipuri (Vyborg)	Finland	28.7497,60.7106	Россия
nobel-000932	Denis Mukwege	Bukavu	Democratic Republic of the Congo	28.8667,-2.5000	République démocratique du Congo
shaw_prize-000005	Yuet Wai Kan	British Hong Kong	United Kingdom	114.1603,22.2801	中国
turing_award-000012	Michael O. Rabin	Breslau	Germany	17.0325,51.1100	Polska
turing_award-000035	Raj Reddy	Katur	India	111.7283,-7.1622	Indonesia
wolf_prize-000173	Baldur R. Stefansson	Vestfold	Canada	10.2200,59.3100	Norge
wolf_prize-000259	Axel Ullrich	Lubań	Germany	15.3,51.1167	Polska
wolf_prize-000269	Rudolf Jaenisch	Międzygórze	Germany	16.7667,50.2281	Polska
