award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
breakthrough-000001,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,"Invention of inflationary cosmology, and for contributions to the theory for the generation of cosmological density fluctuations arising from quantum fluctuations",,,Individual,Alan Guth,1947-02-27,1947,New Brunswick,United States,,United States,Male,"Massachusetts Institute of Technology, Cambridge",,,,,,,,,
breakthrough-000002,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,For robust quantum memories and fault-tolerant quantum computation using topological quantum phases with anyons and unpaired Majorana modes; topological quantum computing.,,,Individual,Alexei Kitaev,1963-08-06,1963,Chernogolovka,Russian Federation,,Russian Federation,Male,"California Institute of Technology, Pasadena, CA Currently at KITP and UCSB, Santa Barbara",,,,,,,,,
breakthrough-000003,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,"For development of inflationary cosmology, including the theory of new inflation, eternal chaotic inflation and the theory of inflationary multiverse, and for contributing to the development of vacuum stabilization mechanisms in string theory.",,,Individual,Andrei Linde,1948-03-02,1948,Moscow,Russian Federation,,United States,Male,"Stanford University, Stanford",,,,,,,,,
breakthrough-000004,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,Opening the path to the realization that all string theories are different limits of the same underlying theory.,,,Individual,Ashoke Sen,1956-07-14,1956,Kolkata,India,,India,Male,"Harish-Chandra Research Institute, Allahabad",,,,,,,,,
breakthrough-000005,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,"For applications of topology to physics, non-perturbative duality symmetries, models of particle physics derived from string theory, dark matter detection, and the twistor-string approach to particle scattering amplitudes, as well as numerous applications of quantum field theory to mathematics.",,,Individual,Edward Witten,1951-08-26,1951,Baltimore,United States,,United States,Male,"Institute for Advanced Study, Princeton",,,,,,,,,
breakthrough-000006,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,"Contributions to gauge/gravity duality, relating gravitational physics in a spacetime and quantum field theory on the boundary of the spacetime",,,Individual,Juan Maldacena,1968-09-21,1968,Buenos Aires,Argentina,,Argentina,Male,"Institute for Advanced Study, Princeton",,,,,,,,,
breakthrough-000007,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,"Numerous contributions including development of homological mirror symmetry, and the study of wall-crossing phenomena.",,,Individual,Maxim Kontsevich,1958-08-31,1958,Khimki,Russian Federation,,France,Male,"Institut des Hautes Études Scientifiques, Bures-sur-Yvette",,,,,,,,,
breakthrough-000008,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,Contributions to our understanding of quantum field theory and string theory.,,,Individual,Nathan Seiberg,1956-08-30,1956,New York,United States,,United States,Male,"Institute for Advanced Study, Princeton",,,,,,,,,
breakthrough-000009,2012,Fundamental Physics,Breakthrough Prize in Fundamental Physics,Original approaches to outstanding problems in particle physics,,,Individual,Nima Arkani-Hamed,1972-09-04,1972,New York,United States,,United States,Male,"Institute for Advanced Study, Princeton",,,,,,,,,
breakthrough-000010,2013,Fundamental Physics,Breakthrough Prize in Fundamental Physics,"For his many discoveries in field theory and string theory including the conformal bootstrap, magnetic monopoles, instantons, confinement/de-confinement, the quantization of strings in non-critical dimensions, gauge/string duality and many others. His ideas have dominated the scene in these fields during the past decades.",,,Individual,Alexander Polyakov,1945-09-27,1945,Stalingrad,Russian Federation,,United States,Male,"Princeton University, Princeton",,,,,,,,,
