award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
crafoord-000001,1982,Mathematics,Crafoord Prize,for their outstanding achievements in the theory of non-linear differential equations,,,,Vladimir Arnold,,1937,,,,Soviet Union; Russia,,,,,,,,,,(1937–2010),
crafoord-000002,1982,Mathematics,Crafoord Prize,for their outstanding achievements in the theory of non-linear differential equations,,,,Louis Nirenberg,,1925,,,,Canada; United States,,,,,,,,,,(1925–2020),
crafoord-000003,1983,Geosciences,Crafoord Prize,"for their fundamental contributions to the field of geophysical hydrodynamics, which in a unique way have contributed to a deeper understanding of the large-scale motions of the atmosphere and the sea",,,,Edward Norton Lorenz,,1917,,,,United States,,,,,,,,,,(1917–2008),
crafoord-000004,1983,Geosciences,Crafoord Prize,"for their fundamental contributions to the field of geophysical hydrodynamics, which in a unique way have contributed to a deeper understanding of the large-scale motions of the atmosphere and the sea",,,,Henry Stommel,,1920,,,,United States,,,,,,,,,,(1920–1992),
crafoord-000005,1984,Biosciences,Crafoord Prize,for his imaginative and stimulating studies on co-evolution which have inspired many researchers to further work in this field,,,,Daniel H. Janzen,,1939,,,,United States,,,,,,,,,,(b. 1939),
crafoord-000006,1985,Astronomy,Crafoord Prize,"for his fundamental pioneering studies of practically every aspect of the interstellar medium, culminating in the results obtained using the Copernicus satellite",,,,Lyman Spitzer,,1914,,,,United States,,,,,,,,,,(1914–1997),
crafoord-000007,1986,Geosciences,Crafoord Prize,for their pioneering studies of isotope geochemical relations and the geological interpretations that these results permit,,,,Claude Allègre,,1937,,,,France,,,,,,,,,,(1937–2025),
crafoord-000008,1986,Geosciences,Crafoord Prize,for their pioneering studies of isotope geochemical relations and the geological interpretations that these results permit,,,,Gerald J. Wasserburg,,1927,,,,United States,,,,,,,,,,(1927–2016),
crafoord-000009,1987,Biosciences,Crafoord Prize,for their pioneering contributions within the field of ecosystem ecology,,,,Eugene Odum,,1913,,,,United States,,,,,,,,,,(1913–2002),
crafoord-000010,1987,Biosciences,Crafoord Prize,for their pioneering contributions within the field of ecosystem ecology,,,,Howard T. Odum,,1924,,,,United States,,,,,,,,,,(1924–2002),
crafoord-000011,1988,Mathematics,Crafoord Prize,for their fundamental research in algebraic geometry,,,,Pierre Deligne,,1944,,,,Belgium,,,,,,,,,,(b. 1944),
crafoord-000012,1988,Mathematics,Crafoord Prize,for their fundamental research in algebraic geometry,,,,Alexander Grothendieck,,1928,,,,France; stateless; Germany,,,,,,,,,,(1928–2014),
crafoord-000013,1989,Geosciences,Crafoord Prize,"for his pioneering exploration of space, in particular the discovery of the energetic particles trapped in the geomagnetic field which forms the radiation belts - the Van Allen belts - around the planet Earth",,,,James Van Allen,,1914,,,,United States,,,,,,,,,,(1914–2006),
crafoord-000014,1990,Biosciences,Crafoord Prize,for his research on the dynamics and genetics of fragmented populations and the importance of the distribution pattern for their survival probabilities,,,,Paul R. Ehrlich,,1932,,,,United States,,,,,,,,,,(1932–2026),
crafoord-000015,1990,Biosciences,Crafoord Prize,for the theory of island biogeography and other research on species diversity and community dynamics on islands and in other habitats with differing degrees of isolation,,,,E. O. Wilson,,1929,,,,United States,,,,,,,,,,(1929–2021),
crafoord-000016,1991,Astronomy,Crafoord Prize,"for his very important contributions to the study of galaxies, their populations of stars, clusters and nebulae, their evolution, the velocity-distance relation (or Hubble relation), and its evolution over time",,,,Allan Sandage,,1926,,,,United States,,,,,,,,,,(1926–2010),
crafoord-000017,1992,Geosciences,Crafoord Prize,for his innovative research concerning the evolution of life in interaction with the environment as documented in the geological record,,,,Adolf Seilacher,,1925,,,,Germany,,,,,,,,,,(1925–2014),
crafoord-000018,1993,Biosciences,Crafoord Prize,for his theories concerning kin selection and genetic relationship as a prerequisite for the evolution of altruistic behavior,,,,W. D. Hamilton,,1936,,,,United Kingdom,,,,,,,,,,(1936–2000),
crafoord-000019,1993,Biosciences,Crafoord Prize,"for his pioneering genetical and neurophysiological studies on behavioural mutants in the fruit fly, Drosophila melanogaster",,,,Seymour Benzer,,1921,,,,United States,,,,,,,,,,(1921–2007),
crafoord-000020,1994,Mathematics,Crafoord Prize,for his fundamental investigations in four-dimensional geometry through application of instantos in particular his new discovery of new differential invariants,,,,Simon Donaldson,,1957,,,,United Kingdom,,,,,,,,,,(b. 1957),
crafoord-000021,1994,Mathematics,Crafoord Prize,for his development of non-linear techniques in differential geometry leading the solution of several outstanding problems,,,,Shing-Tung Yau,,1949,,,,United States; Hong Kong,,,,,,,,,,(b. 1949),
crafoord-000022,1995,Geosciences,Crafoord Prize,for their fundamental work on developing and applying isotope geological analysis methods for the study of climatic variations during the Quaternary period,,,,Willi Dansgaard,,1922,,,,Denmark,,,,,,,,,,(1922–2011),
crafoord-000023,1995,Geosciences,Crafoord Prize,for their fundamental work on developing and applying isotope geological analysis methods for the study of climatic variations during the Quaternary period,,,,Nicholas Shackleton,,1937,,,,United Kingdom,,,,,,,,,,(1937–2006),
crafoord-000024,1996,Biosciences,Crafoord Prize,"for his pioneering ecological research concerning theoretical analysis of the dynamics of populations, communities and ecosystems",,,,Robert May,,1936,,,,United Kingdom; United States,,,,,,,,,,(1936–2020),
crafoord-000025,1997,Astronomy,Crafoord Prize,for their pioneering contributions to the study of nuclear processes in stars and stellar evolution,,,,Fred Hoyle,,1915,,,,United Kingdom,,,,,,,,,,(1915–2001),
crafoord-000026,1997,Astronomy,Crafoord Prize,for their pioneering contributions to the study of nuclear processes in stars and stellar evolution,,,,Edwin Ernest Salpeter,,1924,,,,Austria; United States; Australia,,,,,,,,,,(1924–2008),
crafoord-000027,1998,Geosciences,Crafoord Prize,for their fundamental contributions to our knowledge of the structures and processes in the interior of the Earth,,,,Don L. Anderson,,1933,,,,United States,,,,,,,,,,(1933–2014),
crafoord-000028,1998,Geosciences,Crafoord Prize,for their fundamental contributions to our knowledge of the structures and processes in the interior of the Earth,,,,Adam M. Dziewonski,,1936,,,,Poland; United States,,,,,,,,,,(1936–2016),
crafoord-000029,1999,Biosciences,Crafoord Prize,for their fundamental contributions to the conceptual development of evolutionary biology,,,,Ernst Mayr,,1904,,,,United States; Germany,,,,,,,,,,(1904–2005),
crafoord-000030,1999,Biosciences,Crafoord Prize,for their fundamental contributions to the conceptual development of evolutionary biology,,,,John Maynard Smith,,1920,,,,United Kingdom,,,,,,,,,,(1920–2004),
crafoord-000031,1999,Biosciences,Crafoord Prize,for their fundamental contributions to the conceptual development of evolutionary biology,,,,George Christopher Williams,,1926,,,,United States,,,,,,,,,,(1926–2010),
crafoord-000032,2000,Polyarthritis,Crafoord Prize,for their definition of TNF-alpha as a therapeutic target in rheumatoid arthritis,,,,Marc Feldmann,,1944,,,,Australia; United Kingdom,,,,,,,,,,(b. 1944),
crafoord-000033,2000,Polyarthritis,Crafoord Prize,for their definition of TNF-alpha as a therapeutic target in rheumatoid arthritis,,,,Ravinder N. Maini,,1937,,,,United Kingdom,,,,,,,,,,(b. 1937),
crafoord-000034,2001,Mathematics,Crafoord Prize,for his penetrating work on the theory of operator algebras and for having been a founder of non-commutative geometry,,,,Alain Connes,,1947,,,,France,,,,,,,,,,(b. 1947),
crafoord-000035,2002,Geosciences,Crafoord Prize,"for fundamental contributions to the understanding of the dynamics of the lithosphere, particularly plate tectonics, sedimentary basin formation and mantle melting",,,,Dan McKenzie,,1942,,,,United Kingdom,,,,,,,,,,(b. 1942),
crafoord-000036,2003,Biosciences,Crafoord Prize,for his discovery of a third domain of life,,,,Carl Woese,,1928,,,,United States,,,,,,,,,,(1928–2012),
crafoord-000037,2004,Polyarthritis,Crafoord Prize,for their studies of the molecular mechanisms involved in migration of white blood cells in health and disease,,,,Eugene C. Butcher,,1950,,,,United States,,,,,,,,,,(b. 1950),
crafoord-000038,2004,Polyarthritis,Crafoord Prize,for their studies of the molecular mechanisms involved in migration of white blood cells in health and disease,,,,Timothy A. Springer,,1948,,,,United States,,,,,,,,,,(b. 1948),
crafoord-000039,2005,Astronomy,Crafoord Prize,for contributions towards understanding the large-scale structure of the Universe,,,,James E. Gunn,,1938,,,,United States,,,,,,,,,,(b. 1938),
crafoord-000040,2005,Astronomy,Crafoord Prize,for contributions towards understanding the large-scale structure of the Universe,,,,James Peebles,,1935,,,,Canada; United States,,,,,,,,,,(b. 1935),
crafoord-000041,2005,Astronomy,Crafoord Prize,for contributions towards understanding the large-scale structure of the Universe,,,,Martin Rees,,1942,,,,United Kingdom,,,,,,,,,,(b. 1942),
crafoord-000042,2006,Geosciences,Crafoord Prize,"for his innovative and pioneering research on the operation of the global carbon cycle within the ocean atmosphere-biosphere system, and its interaction with climate",,,,Wallace Smith Broecker,,1931,,,,United States,,,,,,,,,,(1931–2019),
crafoord-000043,2007,Biosciences,Crafoord Prize,"for his fundamental analysis of social evolution, conflict and cooperation",,,,Robert Trivers,,1943,,,,United States,,,,,,,,,,(1943–2026),
crafoord-000044,2008,Astronomy,Crafoord Prize,"for his decisive contributions to high energy astrophysics and cosmology, in particular processes and dynamics around black holes and neutron stars and demonstration of the diagnostic power of structures in the background radiation",,,,Rashid Alievich Sunyaev,,1943,,,,Soviet Union; Russia,,,,,,,,,,(b. 1943),
crafoord-000045,2008,Mathematics,Crafoord Prize,for their important contributions to mathematics inspired by modern theoretical physics,,,,Maxim Kontsevich,,1964,,,,Soviet Union; France; Russia,,,,,,,,,,(b. 1964),
crafoord-000046,2008,Mathematics,Crafoord Prize,for their important contributions to mathematics inspired by modern theoretical physics,,,,Edward Witten,,1951,,,,United States,,,,,,,,,,(b. 1951),
crafoord-000047,2009,Polyarthritis,Crafoord Prize,"for their pioneering work to isolate interleukins, determine their properties and explore their role in the onset of inflammatory diseases",,,,Charles Dinarello,,1943,,,,United States,,,,,,,,,,(b. 1943),
crafoord-000048,2009,Polyarthritis,Crafoord Prize,"for their pioneering work to isolate interleukins, determine their properties and explore their role in the onset of inflammatory diseases",,,,Tadamitsu Kishimoto,,1939,,,,Japan,,,,,,,,,,(b. 1939),
crafoord-000049,2009,Polyarthritis,Crafoord Prize,"for their pioneering work to isolate interleukins, determine their properties and explore their role in the onset of inflammatory diseases",,,,Toshio Hirano,,1947,,,,Japan,,,,,,,,,,(b. 1947),
crafoord-000050,2010,Geosciences,Crafoord Prize,"for his pioneering and fundamental contributions to our understanding of ocean circulation, tides and waves, and their role in the Earth's dynamics",,,,Walter Munk,,1917,,,,United States; Austria,,,,,,,,,,(1917–2019),
crafoord-000051,2011,Biosciences,Crafoord Prize,for his pioneering studies on how spatial variation affects the dynamics of animal and plant populations,,,,Ilkka Hanski,,1953,,,,Finland,,,,,,,,,,(1953–2016),
crafoord-000052,2012,Astronomy,Crafoord Prize,"for their observations of the stars orbiting the galactic centre, indicating the presence of a supermassive black hole",,,,Reinhard Genzel,,1952,,,,Germany,,,,,,,,,,(b. 1952),
crafoord-000053,2012,Astronomy,Crafoord Prize,"for their observations of the stars orbiting the galactic centre, indicating the presence of a supermassive black hole",,,,Andrea M. Ghez,,1965,,,,United States,,,,,,,,,,(b. 1965),
crafoord-000054,2012,Mathematics,Crafoord Prize,"for their brilliant and groundbreaking work in harmonic analysis, partial differential equations, ergodic theory, number theory, combinatorics, functional analysis and theoretical computer science",,,,Jean Bourgain,,1954,,,,Belgium,,,,,,,,,,(1954–2018),
crafoord-000055,2012,Mathematics,Crafoord Prize,"for their brilliant and groundbreaking work in harmonic analysis, partial differential equations, ergodic theory, number theory, combinatorics, functional analysis and theoretical computer science",,,,Terence Tao,,1975,,,,Australia; United States,,,,,,,,,,(b. 1975),
crafoord-000056,2013,Polyarthritis,Crafoord Prize,"for their discoveries concerning the role of different genetic factors and their interactions with environmental factors in the pathogenesis, diagnosis and clinical management of rheumatoid arthritis",,,,Peter K. Gregersen,,1950,,,,United States,,,,,,,,,,(b. 1950),
crafoord-000057,2013,Polyarthritis,Crafoord Prize,"for their discoveries concerning the role of different genetic factors and their interactions with environmental factors in the pathogenesis, diagnosis and clinical management of rheumatoid arthritis",,,,Lars Klareskog,,1945,,,,Sweden,,,,,,,,,,(b. 1945),
crafoord-000058,2013,Polyarthritis,Crafoord Prize,"for their discoveries concerning the role of different genetic factors and their interactions with environmental factors in the pathogenesis, diagnosis and clinical management of rheumatoid arthritis",,,,Robert J. Winchester,,1937,,,,United States,,,,,,,,,,(b. 1937),
crafoord-000059,2014,Geosciences,Crafoord Prize,"for his ground-breaking contribution to the understanding of global tectonics, in particular the deformation of continents and the structure and evolution of mountain ranges, as well as the impact of tectonic processes on ocean-atmosphere circulation and climate",,,,Peter Molnar,,1943,,,,United States,,,,,,,,,,(1943–2022),
crafoord-000060,2015,Biosciences,Crafoord Prize,for their pioneering analyses and fundamental contributions to the understanding of genetic polymorphism,,,,Richard Lewontin,,1929,,,,United States,,,,,,,,,,(1929–2021),
crafoord-000061,2015,Biosciences,Crafoord Prize,for their pioneering analyses and fundamental contributions to the understanding of genetic polymorphism,,,,Tomoko Ohta,,1933,,,,Japan,,,,,,,,,,(b. 1933),
crafoord-000062,2016,Astronomy,Crafoord Prize,for fundamental work concerning rotating black holes and their astrophysical consequences,,,,Roy Kerr,,1934,,,,New Zealand,,,,,,,,,,(b. 1934),
crafoord-000063,2016,Astronomy,Crafoord Prize,for fundamental work concerning rotating black holes and their astrophysical consequences,,,,Roger Blandford,,1949,,,,United Kingdom; United States,,,,,,,,,,(b. 1949),
crafoord-000064,2016,Mathematics,Crafoord Prize,for the development of contact and symplectic topology and groundbreaking discoveries of rigidity and flexibility phenomena,,,,Yakov Eliashberg,,1946,,,,Russia; Soviet Union; United States,,,,,,,,,,(b. 1946),
crafoord-000065,2017,Polyarthritis,Crafoord Prize,"for their discoveries relating to regulatory T cells, which counteract harmful immune reactions in arthritis and other autoimmune diseases",,,,Shimon Sakaguchi,,1951,,,,Japan,,,,,,,,,,(b. 1951),
crafoord-000066,2017,Polyarthritis,Crafoord Prize,"for their discoveries relating to regulatory T cells, which counteract harmful immune reactions in arthritis and other autoimmune diseases",,,,Fred Ramsdell,,1960,,,,United States,,,,,,,,,,(b. 1960),
crafoord-000067,2017,Polyarthritis,Crafoord Prize,"for their discoveries relating to regulatory T cells, which counteract harmful immune reactions in arthritis and other autoimmune diseases",,,,Alexander Rudensky,,1956,,,,United States,,,,,,,,,,(b. 1956),
crafoord-000068,2018,Geosciences,Crafoord Prize,for fundamental contributions to understanding the role of atmospheric trace gases in Earth's climate system,,,,Syukuro Manabe,,1931,,,,Japan; United States,,,,,,,,,,(b. 1931),
crafoord-000069,2018,Geosciences,Crafoord Prize,for fundamental contributions to understanding the role of atmospheric trace gases in Earth's climate system,,,,Susan Solomon,,1956,,,,United States,,,,,,,,,,(b. 1956),
crafoord-000070,2019,Biosciences,Crafoord Prize,"for the discovery and pioneering studies of the most abundant photosynthesising organism on Earth, Prochlorococcus",,,,Sallie W. Chisholm,,1947,,,,United States,,,,,,,,,,(b. 1947),
crafoord-000071,2020,Astronomy,Crafoord Prize,for pioneering and fundamental studies of the solar wind and magnetic fields from stellar to galactic scales,,,,Eugene N. Parker,,1927,,,,United States,,,,,,,,,,(1927–2022),
crafoord-000072,2020,Mathematics,Crafoord Prize,"for outstanding and influential contributions in all the major areas of mathematics, particularly number theory, analysis and algebraic geometry",,,,Enrico Bombieri,,1940,,,,Italy; United States,,,,,,,,,,(b. 1940),
crafoord-000073,2021,Polyarthritis,Crafoord Prize,for establishing the concept of autoinflammatory diseases,,,,Daniel L. Kastner,,1951,,,,United States,,,,,,,,,,(b. 1951),
crafoord-000074,2022,Geosciences,Crafoord Prize,for fundamental contributions to our understanding of the first three billion years of life on Earth and life's interactions with the physical environment through time,,,,Andrew H. Knoll,,1951,,,,United States,,,,,,,,,,(b. 1951),
crafoord-000075,2023,Biosciences,Crafoord Prize,for fundamental contributions to the understanding of adaptive radiation and ecological speciation,,,,Dolph Schluter,,1955,,,,Canada,,,,,,,,,,(b. 1955),
crafoord-000076,2024,Astronomy,Crafoord Prize,for developing the methods of asteroseismology and their application to the study of the interior of the Sun and of other stars,,,,Douglas Gough,,1941,,,,United Kingdom,,,,,,,,,,(b. 1941),
crafoord-000077,2024,Astronomy,Crafoord Prize,for developing the methods of asteroseismology and their application to the study of the interior of the Sun and of other stars,,,,Jørgen Christensen-Dalsgaard,,1950,,,,Denmark,,,,,,,,,,(b. 1950),
crafoord-000078,2024,Astronomy,Crafoord Prize,for developing the methods of asteroseismology and their application to the study of the interior of the Sun and of other stars,,,,Conny Aerts,,1966,,,,Belgium,,,,,,,,,,(b. 1966),
crafoord-000079,2024,Mathematics,Crafoord Prize,"for outstanding contributions to complex and algebraic geometry, including Hodge theory, algebraic cycles, and hyperkähler geometry",,,,Claire Voisin,,1962,,,,France,,,,,,,,,,(b. 1962),
crafoord-000080,2025,Polyarthritis,Crafoord Prize,for the discovery of fundamental mechanisms for B cell tolerance.,,,,Christopher Goodnow,,1959,,,,United States; Australia,,,,,,,,,,(b. 1959),
