prefix,affiliation_name,award_record_count

boston,"Boston Children's Hospital",1
boston,"Boston Children’s Hospital/Harvard Medical School",1
bristo,"Bristol University",1
bristo,"Bristol-Meyers Squibb- Squibb Institute for Medical Research",2
bristo,"Bristol-Myers Squibb Pharmaceutical Research Institute",2
califo,"California Institute of Technology",52
califo,"California Institute of Technology and Cambridge University, Cambridge, UK",2
califo,"California Institute of Technology Pasadena, California",1
califo,"California Institute of Technology, Pasadena, CA Currently at KITP and UCSB, Santa Barbara",1
centra,"Central Research Laboratories EMI, Ltd.",1
centra,"Central Research Laboratories, EMI",1
chines,"Chinese Academy of Sciences",1
chines,"Chinese Academy of Sciences, University of California, Berkeley",2
columb,"Columbia University",46
columb,"Columbia University College of Physicians and Surgeons",3
columb,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital",1
"fermi ","Fermi National Accelerator Laboratory",1
"fermi ","Fermi National Accelerator Laboratory Chicago",1
harvar,"Harvard Medical School, Children’s Cancer Research Foundation",1
harvar,"Harvard Medical School, Massachusetts General Hospital",1
harvar,"Harvard Medical School; Beth Israel Hospital",1
harvar,"Harvard Medical School; Howard Hughes Medical Institute",1
harvar,"Harvard Medical School; Weill Cornell Medical College",1
harvar,"Harvard University; Howard Hughes Medical Institute",2
"high e","High Energy Accelerator Research Organization (KEK)",1
"high e","High Energy Accelerator Research Organization, Japan",1
howard,"Howard Hughes Medical Institute",2
howard,"Howard Hughes Medical Institute; Johns Hopkins University",1
howard,"Howard Hughes Medical Institute; Memorial Sloan-Kettering Cancer Center",1
humbol,"Humboldt University of Berlin",3
humbol,"Humboldt-Universität zu Berlin",1
imperi,"Imperial Cancer Research Fund",3
imperi,"Imperial Cancer Research Fund Laboratory",1
imperi,"Imperial College",3
imperi,"Imperial College London",5
imperi,"Imperial College London, Kennedy Institute of Rheumatology",2
imperi,"Imperial College of Science",1
imperi,"Imperial College of Science and Technology",1
instit,"Institut d'Astrophysique Spatiale",1
instit,"Institut d'Optique",1
instit,"Institut des Hautes Études Scientifiques",15
instit,"Institut du Radium",2
instit,"Institut d’Optique Graduate School – Université Paris-Saclay",1
instit,"Institut Français du Pétrole",1
instit,"Institut Imagine",1
instit,"Institut Laue–Langevin",1
instit,"Institut Pasteur",12
instit,"Institute for Advanced Study",35
instit,"Institute for Advanced Study; Princeton University",1
instit,"Institute for Biochemical Research",1
instit,"Institute for Chemical Physics of the Academy of Sciences of the USSR",1
instit,"Institute for Genomic Biology, University of Illinois",1
instit,"Institute for Infectious Diseases",1
instit,"Institute for Molecular Science",1
