primary_country	prefix_8	variants_in_group	primary_affiliation_name	additional_affiliations	additional_countries	multi_value	affiliation_value_count	country_value_count	award_record_count	award_record_ids
Argentina	institut	2	Institute for Biochemical Research			no	1	1	1	nobel-000402
Argentina	institut	2	Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine)			no	1	1	1	nobel-000237
Australia	australi	2	Australian National University			no	1	1	6	gairdner_international_award-000175,japan_prize-000011,kyoto_prize-000104,nobel-000346,nobel-000852,shaw_prize-000012
Australia	australi	2	Australian Research Council Centre of Excellence for Gravitational Wave Discovery			no	1	1	1	shaw_prize-000101
Australia	universi	2	University of Melbourne			no	1	1	2	lasker_awards-000361,nobel-001014
Australia	universi	2	University of New South Wales (UNSW Sydney)			no	1	1	1	japan_prize-000099
Australia	walter a	2	Walter and Eliza Hall Institute for Medical Research			no	1	1	1	nobel-000325
Australia	walter a	2	Walter and Eliza Hall Institute of Medical Research			no	1	1	2	gairdner_international_award-000043,gairdner_international_award-000225
Austria	universi	4	University of Graz			no	1	1	1	max_planck_medal-000007
Austria	universi	4	University of Innsbruck			no	1	1	2	max_planck_medal-000069,wolf_prize-000289
Austria	universi	4	University of Salzburg			no	1	1	1	nobel-000442
Austria	universi	4	University of Vienna			no	1	1	4	max_planck_medal-000042,nobel-000989,wolf_prize-000016,wolf_prize-000261
Belgium	universi	2	University of Liège			no	1	1	2	gairdner_international_award-000194,wolf_prize-000233
Belgium	universi	2	Université libre de Bruxelles			no	1	1	4	nobel-000473,nobel-000875,wolf_prize-000222,wolf_prize-000224
Canada	universi	10	University of Alberta			no	1	1	4	gairdner_international_award-000168,nobel-000957,turing_award-000079,wolf_prize-000182
Canada	universi	10	University of British Columbia			no	1	1	9	breakthrough-000062,crafoord-000075,gairdner_international_award-000049,gairdner_international_award-000097,gairdner_international_award-000162,gairdner_international_award-000174,gairdner_international_award-000366,japan_prize-000045,nobel-000629
Canada	universi	10	University of Calgary			no	1	1	1	gairdner_international_award-000297
Canada	universi	10	University of Manitoba			no	1	1	4	gairdner_international_award-000057,gairdner_international_award-000112,gairdner_international_award-000141,wolf_prize-000173
Canada	universi	10	University of Ottawa			no	1	1	2	gairdner_international_award-000170,wolf_prize-000365
