qid	canonical_name	source	source_name	previous_variants
Q101740	Benoit Mandelbrot	wikipedia	Benoit Mandelbrot	Benoît Mandelbrot | Benoit B. Mandelbrot
Q1030228	Ludvig Faddeev	wikipedia	Ludvig Faddeev	Ludvig Faddeev | Ludwig Faddeev
Q103835	Petrus (Peter) Josephus Wilhelmus Debye	explicit	Petrus (Peter) Josephus Wilhelmus Debye	Peter Debye | Petrus (Peter) Josephus Wilhelmus Debye
Q104600	Jack W. Szostak	explicit	Jack W. Szostak	Jack Szostak | Jack W. Szostak
Q104913	Robert G. Edwards	nobel	Robert G. Edwards	Robert Edwards | Robert G. Edwards
Q105494	Ralph M. Steinman	nobel	Ralph M. Steinman	Ralph Steinman | Ralph M. Steinman
Q106454	Adam G. Riess	nobel	Adam G. Riess	Adam Riess | Adam G. Riess
Q1065232	Charles Sawyers	wikipedia	Charles Sawyers	Charles L. Sawyers | Charles Sawyers
Q106547	Paul C. Lauterbur	nobel	Paul C. Lauterbur	Paul C. Lauterbur | Paul Christian Lauterbur
Q106624	Ahmed H. Zewail	nobel	Ahmed H. Zewail	Ahmed H. Zewail | Ahmed Hassan Zewail
Q107402	Rosalyn Sussman Yalow	wikipedia	Rosalyn Sussman Yalow	Rosalyn S. Yalow | Rosalyn Yalow
Q107462	Har Gobind Khorana	nobel	Har Gobind Khorana	H. Gobind Khorana | Har Gobind Khorana
Q1076636	Luis Caffarelli	wikipedia	Luis Caffarelli	Luis Caffarelli | Luis A. Caffarelli
Q110101	Edward Calvin Kendall	nobel	Edward Calvin Kendall	Edward C. Kendall | Edward Calvin Kendall
Q1107006	Ken Thompson	wikipedia	Ken Thompson	Kenneth Thompson | Ken Thompson
Q110974	James W. Black	nobel	Sir James W. Black	James W. Black | Sir James W. Black
Q111190	F. Sherwood Rowland	nobel	F. Sherwood Rowland	Frank Sherwood Rowland | F. Sherwood Rowland
Q112119455	Paul Negulescu	wikipedia	Paul Negulescu	Paul Negulescu | Paul A. Negulescu
Q113081	Walter Munk	wikipedia	Walter Munk	Walter Munk | Walter Heinrich Munk
Q1161184	Daniel H. Janzen	wikipedia	Daniel H. Janzen	Daniel H. Janzen | Daniel Hunt Janzen
Q1173676	David Baulcombe	wikipedia	David Baulcombe	David C. Baulcombe | David Baulcombe
Q118909	Walter Jakob Gehring	wikipedia	Walter Jakob Gehring	Walter J. Gehring | Walter Jakob Gehring
Q123280	Francis Harry Compton Crick	nobel	Francis Harry Compton Crick	Francis H.C. Crick | F.H.C. Crick | Francis Harry Compton Crick
Q1239660	Donald Henderson	wikipedia	Donald Henderson	Donald A. Henderson | Donald Henderson
Q127122	Douglas L. Coleman	wikipedia	Douglas L. Coleman	Douglas Coleman | Douglas L. Coleman
Q133267	Lev Davidovich Landau	nobel	Lev Davidovich Landau	Lev Landau | Lev Davidovich Landau
Q1356470	Ernest McCulloch	wikipedia	Ernest McCulloch	Ernest A. McCulloch | Ernest McCulloch
Q1378995	John Heysham Gibbon	wikipedia	John Heysham Gibbon	John H. Gibbon | John Heysham Gibbon
Q1499435	Michael Berridge	wikipedia	Michael Berridge	Michael J. Berridge | Michael Berridge
Q1514435	John Allen Clements	wikipedia	John Allen Clements	John A. Clements | John Allen Clements
Q153717	Freeman Dyson	wikipedia	Freeman Dyson	Freeman Dyson | Freeman J. Dyson
Q15374218	Mahlon DeLong	wikipedia	Mahlon DeLong	Mahlon DeLong | Mahlon R. DeLong
Q1545000	Gregory P. Winter	nobel	Sir Gregory P. Winter	Sir Gregory Winter | Sir Gregory P. Winter
Q15451	W. D. Hamilton	wikipedia	W. D. Hamilton	W. D. Hamilton | William Donald Hamilton
Q155371	Charles Brenton Huggins	nobel	Charles Brenton Huggins	Charles Huggins | Charles Brenton Huggins
Q155790	Eugene Paul Wigner	nobel	Eugene Paul Wigner	Eugene Wigner | Eugene Paul Wigner
Q155794	Hans Albrecht Bethe	nobel	Hans Albrecht Bethe	Hans Bethe | Hans Albrecht Bethe
Q157210	Ryōji Noyori	wikipedia	Ryōji Noyori	Ryoji Noyori | Ryōji Noyori
Q1603351	William G. Kaelin	nobel	William G. Kaelin Jr	William G. Kaelin Jr. | William Kaelin Jr. | William G. Kaelin Jr
Q1633582	Ronald Drever	wikipedia	Ronald Drever	Ronald Drever | Ronald W. P. Drever
Q1633764	Huda Zoghbi	wikipedia	Huda Zoghbi	Huda Zoghbi | Huda Y. Zoghbi
Q16389	Charles Kuen Kao	nobel	Charles Kuen Kao	Charles K. Kao | Charles Kuen Kao
Q16731956	Lynne E. Maquat	wikipedia	Lynne E. Maquat	Lynne E. Maquat | Lynne Elizabeth Maquat
Q1690702	Joan A. Steitz	wikipedia	Joan A. Steitz	Joan A. Steitz | Joan Argetsinger Steitz | Joan Steitz
Q17457	Donald Knuth	wikipedia	Donald Knuth	Donald Ervin Knuth | Donald Knuth
Q17714	Stephen Hawking	wikipedia	Stephen Hawking	Stephen Hawking | Stephen W. Hawking
Q180468	Albert von Szent-Györgyi Nagyrápolt	nobel	Albert von Szent-Györgyi Nagyrápolt	Albert Szent-Györgyi | Albert von Szent-Györgyi Nagyrápolt
Q182031	Jack S. Kilby	nobel	Jack S. Kilby	Jack St. Clair Kilby | Jack S. Kilby
Q1820381	Leroy Hood	wikipedia	Leroy Hood	Leroy Edward Hood | Leroy Hood
Q183279	Zhores I. Alferov	nobel	Zhores I. Alferov	Zhores Ivanovich Alferov | Zhores I. Alferov
Q184433	Andrew Wiles	wikipedia	Andrew Wiles	Andrew Wiles | Andrew John Wiles
Q184592	Gerardus 't Hooft	nobel	Gerardus 't Hooft	Gerard 't Hooft | Gerardus 't Hooft
Q184659	Maurice Hugh Frederick Wilkins	nobel	Maurice Hugh Frederick Wilkins	M.H.F. Wilkins | Maurice Hugh Frederick Wilkins
Q1878725	Lyman Page	wikipedia	Lyman Page	Lyman Page Jr. | Lyman A. Page Jr.
Q1900363	Mark Ptashne	wikipedia	Mark Ptashne	Mark Ptashne | Mark S. Ptashne
Q192112	Peter W. Higgs	nobel	Peter W. Higgs	Peter W. Higgs | Peter Higgs
Q193550	Frank Macfarlane Burnet	nobel	Sir Frank Macfarlane Burnet	Frank Macfarlane Burnet | Sir Frank Macfarlane Burnet
Q20026282	Everett Peter Greenberg	wikipedia	Everett Peter Greenberg	E Peter Greenberg | E. Peter Greenberg
