Q101740	Benoît Mandelbrot | Benoit B. Mandelbrot
Q1030228	Ludvig Faddeev | Ludwig Faddeev
Q103835	Peter Debye | Petrus (Peter) Josephus Wilhelmus Debye
Q104600	Jack Szostak | Jack W. Szostak
Q104913	Robert Edwards | Robert G. Edwards
Q105494	Ralph Steinman | Ralph M. Steinman
Q106454	Adam Riess | Adam G. Riess
Q1065232	Charles L. Sawyers | Charles Sawyers
Q106547	Paul C. Lauterbur | Paul Christian Lauterbur
Q106624	Ahmed H. Zewail | Ahmed Hassan Zewail
Q107402	Rosalyn S. Yalow | Rosalyn Yalow
Q107462	H. Gobind Khorana | Har Gobind Khorana
Q1076636	Luis Caffarelli | Luis A. Caffarelli
Q110101	Edward C. Kendall | Edward Calvin Kendall
Q1107006	Kenneth Thompson | Ken Thompson
Q110974	James W. Black | Sir James W. Black
Q111190	Frank Sherwood Rowland | F. Sherwood Rowland
Q112119455	Paul Negulescu | Paul A. Negulescu
Q113081	Walter Munk | Walter Heinrich Munk
Q1161184	Daniel H. Janzen | Daniel Hunt Janzen
Q1173676	David C. Baulcombe | David Baulcombe
Q118909	Walter J. Gehring | Walter Jakob Gehring
Q123280	Francis H.C. Crick | F.H.C. Crick | Francis Harry Compton Crick
Q1239660	Donald A. Henderson | Donald Henderson
Q127122	Douglas Coleman | Douglas L. Coleman
Q133267	Lev Landau | Lev Davidovich Landau
Q1356470	Ernest A. McCulloch | Ernest McCulloch
Q1378995	John H. Gibbon | John Heysham Gibbon
Q1499435	Michael J. Berridge | Michael Berridge
Q1514435	John A. Clements | John Allen Clements
Q153717	Freeman Dyson | Freeman J. Dyson
Q15374218	Mahlon DeLong | Mahlon R. DeLong
Q1545000	Sir Gregory Winter | Sir Gregory P. Winter
Q15451	W. D. Hamilton | William Donald Hamilton
Q155371	Charles Huggins | Charles Brenton Huggins
Q155790	Eugene Wigner | Eugene Paul Wigner
Q155794	Hans Bethe | Hans Albrecht Bethe
Q157210	Ryoji Noyori | Ryōji Noyori
Q1603351	William G. Kaelin Jr. | William Kaelin Jr. | William G. Kaelin Jr
Q1633582	Ronald Drever | Ronald W. P. Drever
Q1633764	Huda Zoghbi | Huda Y. Zoghbi
Q16389	Charles K. Kao | Charles Kuen Kao
Q16731956	Lynne E. Maquat | Lynne Elizabeth Maquat
Q1690702	Joan A. Steitz | Joan Argetsinger Steitz | Joan Steitz
Q17457	Donald Ervin Knuth | Donald Knuth
Q17714	Stephen Hawking | Stephen W. Hawking
Q180468	Albert Szent-Györgyi | Albert von Szent-Györgyi Nagyrápolt
Q182031	Jack St. Clair Kilby | Jack S. Kilby
Q1820381	Leroy Edward Hood | Leroy Hood
Q183279	Zhores Ivanovich Alferov | Zhores I. Alferov
Q184433	Andrew Wiles | Andrew John Wiles
Q184592	Gerard 't Hooft | Gerardus 't Hooft
Q184659	M.H.F. Wilkins | Maurice Hugh Frederick Wilkins
Q1878725	Lyman Page Jr. | Lyman A. Page Jr.
Q1900363	Mark Ptashne | Mark S. Ptashne
Q192112	Peter W. Higgs | Peter Higgs
Q193550	Frank Macfarlane Burnet | Sir Frank Macfarlane Burnet
Q20026282	E Peter Greenberg | E. Peter Greenberg
Q201452	Brian P. Schmidt | Brian Schmidt
Q2075967	Peter J. Ratcliffe | Sir Peter J. Ratcliffe
Q207719	Martin Evans | Sir Martin J. Evans
Q208356	Michael Atiyah | Michael Francis Atiyah
Q211642	Lars Valerian Ahlfors | Lars Ahlfors
Q215574	Mario R. Capecchi | Mario Renato Capecchi | Mario Capecchi
Q215765	John Milnor | John Willard Milnor
Q2161615	Roger Blandford | Roger D. Blandford
Q219716	Paul M. Nurse | Paul Nurse | Sir Paul M. Nurse
Q232305	Roger Wolcott Sperry | Roger W. Sperry
Q232308	Selman Waksman | Selman Abraham Waksman
Q233973	John A. Pople | John Pople
Q2344805	Stephen J. Elledge | Stephen Joseph Elledge
Q235651	Philip S. Hench | Philip Showalter Hench
Q237142	Ulf S. von Euler | Ulf von Euler
Q237825	John C. Polanyi | John Charles Polanyi
Q242169	Roger Guillemin | Roger C.L. Guillemin
Q243536	Howard M. Temin | Howard Martin Temin
Q253133	Jacques F.A.P. Miller | Jacques Miller
Q2547334	Yuet Wai Kan | Yuet-Wai Kan
Q26321	Elizabeth H. Blackburn | Elizabeth Blackburn
Q26322	Carol Greider | Carol W. Greider
Q2638148	Albert H. Coons | Albert Coons
Q271532	John E. Sulston | John Sulston
Q271757	André Cournand | André Frédéric Cournand
Q273769	Sir Godfrey N. Hounsfield | Godfrey N. Hounsfield
Q277221	Alexander Polyakov | Alexander Markovich Polyakov
Q28212107	Fred Ramsdell | Frederick J. Ramsdell
Q284129	Charles Louis Fefferman | Charles Fefferman
Q295768	Bengt Samuelsson | Bengt I. Samuelsson
Q313168	John G. Thompson | John Griggs Thompson
Q315414	Izrail Moiseevich Gelfand | Israel Gelfand
Q315439	George Uhlenbeck | George E. Uhlenbeck
Q323320	Kip Thorne | Kip S. Thorne
