award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
fields-000001,2026,,Fields Medal,,,,,Yu Deng,,1989,,,,China,Male,"University of Chicago, USA",,,,,,,,,
fields-000002,2026,,Fields Medal,,,,,John Pardon,,1989,,,,United States,Male,"Simons Center for Geometry and Physics, Stony Brook University, USA",,,,,,,,,
fields-000003,2026,,Fields Medal,,,,,Jacob Tsimerman,,1988,,,,Canada,Male,"University of Toronto, Canada",,,,,,,,,
fields-000004,2026,,Fields Medal,,,,,Hong Wang,,1991,,,,China,Female,"New York University, USA; Institut des Hautes Études Scientifiques, France",,,,,,,,,
fields-000005,2022,,Fields Medal,,,,,Maryna Sergiivna Viazovska,,1984,,,,Ukraine,Female,"Swiss Federal Institute of Technology in Lausanne, Switzerland",,,,,,,,,
fields-000006,2022,,Fields Medal,,,,,James Maynard,,1987,,,,United Kingdom,Male,"University of Oxford, UK",,,,,,,,,
fields-000007,2022,,Fields Medal,,,,,June Huh,,1983,,,,United States,Male,"Princeton University, USA",,,,,,,,,
fields-000008,2022,,Fields Medal,,,,,Hugo Duminil-Copin,,1985,,,,France,Male,"University of Geneva, Switzerland",,,,,,,,,
fields-000009,2018,,Fields Medal,,,,,Caucher Birkar,,1978,,,,United Kingdom; Iran,Male,"University of Cambridge, UK",,,,,,,,,
fields-000010,2018,,Fields Medal,,,,,Alessio Figalli,,1984,,,,Italy,Male,"Swiss Federal Institute of Technology in Zurich, Switzerland",,,,,,,,,
fields-000011,2018,,Fields Medal,,,,,Peter Scholze,,1987,,,,Germany,Male,"Max Planck Institute for Mathematics in Bonn, Germany",,,,,,,,,
fields-000012,2018,,Fields Medal,,,,,Akshay Venkatesh,,1981,,,,Australia,Male,"Princeton University's Institute for Advanced Studies, USA",,,,,,,,,
fields-000013,2014,,Fields Medal,,,,,Artur Avila Cordeiro de Melo,,1979,,,,Brazil; France,Male,"CNRS - Institut de Mathématiques de Jussieu-Paris Rive Gauche, France",,,,,,,,,
fields-000014,2014,,Fields Medal,,,,,Manjul Bhargava,,1974,,,,Canada; United States,Male,"Princeton University, USA",,,,,,,,,
fields-000015,2014,,Fields Medal,,,,,Martin Hairer,,1975,,,,Austria,Male,"University of Warwick, UK",,,,,,,,,
fields-000016,2014,,Fields Medal,,,,,Maryam Mirzakhani,,1977,,,,Iran,Female,"Stanford University, USA",,,,,,,,,
fields-000017,2010,,Fields Medal,,,,,Ngô Bao Châu,,1972,,,,Vietnam; France,Male,"Université Paris-Sud 11, France, and Institute for Advanced Study, USA",,,,,,,,,
fields-000018,2010,,Fields Medal,,,,,Elon Lindenstrauss,,1970,,,,Israel,Male,"Hebrew University of Jerusalem, Israel",,,,,,,,,
fields-000019,2010,,Fields Medal,,,,,Stanislav K. Smirnov,,1970,,,,Russia,Male,"University of Geneva, Switzerland",,,,,,,,,
fields-000020,2010,,Fields Medal,,,,,Cédric Villani,,1973,,,,France,Male,"École Normale Supérieure de Lyon and Institut Henri Poincaré, France",,,,,,,,,
fields-000021,2006,,Fields Medal,,,,,Andrei Okounkov,,1969,,,,Russia,Male,"Princeton University, USA",,,,,,,,,
fields-000022,2006,,Fields Medal,,,,,Grigori Perelman,,1966,,,,Russia,Male,"St. Petersburg Department of the Steklov Institute of Mathematics, Russia",,,,,,,,,Declined the prize
fields-000023,2006,,Fields Medal,,,,,Terence Tao,,1975,,,,Australia,Male,"University of California, USA",,,,,,,,,
fields-000024,2006,,Fields Medal,,,,,Wendelin Werner,,1968,,,,France,Male,"Université Paris-Sud, France",,,,,,,,,
fields-000025,2002,,Fields Medal,,,,,Laurent Lafforgue,,1966,,,,France,Male,"Institut des Hautes Études Scientifiques, France",,,,,,,,,
fields-000026,2002,,Fields Medal,,,,,Vladimir Voevodsky,,1966,,,,Russia,Male,"Institute for Advanced Study, USA",,,,,,,,,
fields-000027,1998,,Fields Medal,,,,,Richard E. Borcherds,,1959,,,,United Kingdom,Male,"University of Cambridge, UK",,,,,,,,,
fields-000028,1998,,Fields Medal,,,,,W. Timothy Gowers,,1963,,,,United Kingdom,Male,"University of Cambridge, UK",,,,,,,,,
fields-000029,1998,,Fields Medal,,,,,Maxim Kontsevich,,1964,,,,Russia,Male,"Institut des Hautes Études Scientifiques, France",,,,,,,,,
fields-000030,1998,,Fields Medal,,,,,Curtis T. McMullen,,1958,,,,United States,Male,"Harvard University, USA",,,,,,,,,
fields-000031,1994,,Fields Medal,,,,,Jean Bourgain,,1954,,,,Belgium,Male,"Institut des Hautes Études Scientifiques, France",,,,,,,,,
fields-000032,1994,,Fields Medal,,,,,Pierre-Louis Lions,,1956,,,,France,Male,"Université de Paris-Dauphine, CEREMADE, France",,,,,,,,,
fields-000033,1994,,Fields Medal,,,,,Jean-Christophe Yoccoz,,1957,,,,France,Male,"Université de Paris-Sud (Orsay), France",,,,,,,,,
fields-000034,1994,,Fields Medal,,,,,Efim I. Zelmanov,,1955,,,,Russia,Male,"University of Wisconsin (now at the University of Chicago), USA",,,,,,,,,
fields-000035,1990,,Fields Medal,,,,,Vladimir Drinfeld,,1954,,,,Soviet Union,Male,"Steklov Mathematical Institute, Russia",,,,,,,,,
fields-000036,1990,,Fields Medal,,,,,Vaughan F.R. Jones,,1952,,,,New Zealand,Male,"Columbia University, USA",,,,,,,,,
fields-000037,1990,,Fields Medal,,,,,Shigefumi Mori,,1951,,,,Japan,Male,"Harvard University, USA",,,,,,,,,
fields-000038,1990,,Fields Medal,,,,,Edward Witten,,1951,,,,United States,Male,"Princeton University, USA",,,,,,,,,
fields-000039,1986,,Fields Medal,,,,,Simon K Donaldson,,1957,,,,United Kingdom,Male,"University of Oxford, UK",,,,,,,,,
fields-000040,1986,,Fields Medal,,,,,Gerd Faltings,,1954,,,,Germany,Male,"Princeton University, USA",,,,,,,,,
fields-000041,1986,,Fields Medal,,,,,Michael H. Freedman,,1951,,,,United States,Male,"University of California, USA",,,,,,,,,
fields-000042,1982,,Fields Medal,,,,,Alain Connes,,1947,,,,France,Male,"Institut des Hautes Études Scientifiques , France",,,,,,,,,
fields-000043,1982,,Fields Medal,,,,,William P. Thurston,,1946,,,,United States,Male,"Princeton University, USA",,,,,,,,,
fields-000044,1982,,Fields Medal,,,,,Shing-Tung Yau,,1949,,,,China; United States,Male,"Institute for Advanced Study, USA",,,,,,,,,
fields-000045,1978,,Fields Medal,,,,,Pierre René Deligne,,1944,,,,Belgium,Male,"Institut des Hautes Études Scientifiques, France",,,,,,,,,
fields-000046,1978,,Fields Medal,,,,,Charles Louis Fefferman,,1949,,,,United States,Male,"Princeton University, USA",,,,,,,,,
fields-000047,1978,,Fields Medal,,,,,Gregori Aleksandrovitch Margulis,,1946,,,,Soviet Union,Male,"University of Moscow, Russia",,,,,,,,,
fields-000048,1978,,Fields Medal,,,,,Daniel G. Quillen,,1940,,,,United States,Male,"Massachusetts Institute of Technology (MIT), USA",,,,,,,,,
fields-000049,1974,,Fields Medal,,,,,Enrico E Bombieri,,1946,,,,Italy,Male,"University of Pisa, Italy",,,,,,,,,
fields-000050,1974,,Fields Medal,,,,,David Bryant Mumford,,1937,,,,United States,Male,"Harvard University, USA",,,,,,,,,
fields-000051,1970,,Fields Medal,,,,,Alan Baker,,1939,,,,United Kingdom,Male,"University of Cambridge, UK",,,,,,,,,
fields-000052,1970,,Fields Medal,,,,,Heisuke Hironaka,,1931,,,,Japan,Male,"Harvard University, USA",,,,,,,,,
fields-000053,1970,,Fields Medal,,,,,Serge P. Novikov,,1938,,,,Soviet Union,Male,"Belorusskii University, Belarus",,,,,,,,,
fields-000054,1970,,Fields Medal,,,,,John Griggs Thompson,,1932,,,,United States,Male,"University of Chicago, USA",,,,,,,,,
fields-000055,1966,,Fields Medal,,,,,Michael Francis Atiyah,,1929,,,,United Kingdom,Male,"University of Oxford, UK",,,,,,,,,
