award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
japan_prize-000001,1985,,Japan Prize,for outstanding achievement in the field of electronics and communications technologies.,,,,John R. Pierce,,,,,,United States,,,,,,,,,,,
japan_prize-000002,1985,,Japan Prize,for outstanding achievement in basic theory in the field of immobilized enzymes and their practical applications.,,,,Ephraim Katchalski-Katzir,,,,,,Israel,,,,,,,,,,,
japan_prize-000003,1986,,Japan Prize,for pioneering contributions to materials science with impact on new materials technology such as amorphous solids.,,,,David Turnbull,,,,,,United States,,,,,,,,,,,
japan_prize-000004,1986,,Japan Prize,for research and development of artificial organs and their relevant technology.,,,,Willem J. Kolff,,,,,,United States,,,,,,,,,,,
japan_prize-000005,1987,,Japan Prize,for the development of the IR8 and IR36 strains for rice breeding strategies geared to the tropical and subtropical zones.,,,,Henry M. Beachell,,,,,,United States,,,,,,,,,,,
japan_prize-000006,1987,,Japan Prize,for the development of the IR8 and IR36 strains for rice breeding strategies geared to the tropical and subtropical zones.,,,,Gurdev S. Khush,,,,,,India,,,,,,,,,,,
japan_prize-000007,1987,,Japan Prize,for the realization of the world's first laser.,,,,Theodore H. Maiman,,,,,,United States,,,,,,,,,,,
japan_prize-000008,1988,,Japan Prize,for the establishment of fast breeder reactor technology.,,,,Georges Vendryes,,,,,,France,,,,,,,,,,,
japan_prize-000009,1988,,Japan Prize,for the eradication of Smallpox.,,,,Donald Henderson,,,,,,United States,,,,,,,,,,,
japan_prize-000010,1988,,Japan Prize,for the eradication of Smallpox.,,,,Isao Arita,,,,,,Japan,,,,,,,,,,,
japan_prize-000011,1988,,Japan Prize,for the eradication of Smallpox.,,,,Frank Fenner,,,,,,Australia,,,,,,,,,,,
japan_prize-000012,1988,,Japan Prize,for the discovery of the AIDS-causing virus and development of diagnostic methods.,,,,Luc Montagnier,,,,,,France,,,,,,,,,,,
japan_prize-000013,1988,,Japan Prize,for the discovery of the AIDS-causing virus and development of diagnostic methods.,,,,Robert C. Gallo,,,,,,United States,,,,,,,,,,,
