award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
kyoto_prize-000001,1985,,Kyoto Prize,Kyoto Prize in Advanced Technology (Electronics) — Establishment of the Modern Control Theory Based on the State Space Approach .,,,,Rudolf Emil Kalman,,,,,,Switzerland,,,,,,,,,,,
kyoto_prize-000002,1985,,Kyoto Prize,Kyoto Prize in Basic Sciences (Mathematical sciences) — Establishment of Mathematical Foundation of Information Theory,,,,Claude Elwood Shannon,,,,,,United States,,,,,,,,,,,
kyoto_prize-000003,1985,,Kyoto Prize,Kyoto Prize in Arts and Philosophy (Music) — A Composer Who Left a Significant Mark on the 20th Century Music with His Original Theoretical Framework Fundamentally Dependent upon Catholicism,,,,Olivier Messiaen,,,,,,France,,,,,,,,,,,
kyoto_prize-000004,1986,,Kyoto Prize,Kyoto Prize in Advanced Technology (Biotechnology and Medical Technology) — Outstanding Contribution to Embryology through the Development of the Technology for Making Chicken/Quail Chimeras.,,,,Nicole Marthe Le Douarin,,,,,,France,,,,,,,,,,,
kyoto_prize-000005,1986,,Kyoto Prize,Kyoto Prize in Basic Sciences (Biological sciences) — Outstanding Contribution to Limnology and Community Ecology by Integrative Ecological Niche Theory,,,,George Evelyn Hutchinson,,,,,,United States,,,,,,,,,,,
kyoto_prize-000006,1986,,Kyoto Prize,Kyoto Prize in Arts and Philosophy (Arts) — An Artist Who Fused Eastern and Western Tradition not only in Sculpture but also in Broad Areas of Physical Design,,,,Isamu Noguchi,,,,,,United States,,,,,,,,,,,
kyoto_prize-000007,1987,,Kyoto Prize,Kyoto Prize in Advanced Technology (Materials Science and Engineering) — Fundamental Contribution to Development of New Materials Based on Creation of Broad and Basic Insights into the Metal Phase Transformation and Structure-Property Relationship.,,,,Morris Cohen,,,,,,United States,,,,,,,,,,,
kyoto_prize-000008,1987,,Kyoto Prize,"Kyoto Prize in Basic Sciences (Earth and planetary sciences, astronomy and astrophysics) — Outstanding Contribution to Astronomy by the Elucidation of Structure and Dynamics of the Galaxy",,,,Jan Hendrik Oort,,,,,,Netherlands,,,,,,,,,,,
kyoto_prize-000009,1987,,Kyoto Prize,"Kyoto Prize in Arts and Philosophy (Theater, cinema) — A Film Director Who Kept a Firm Eye on the Tumultuous Era of Poland in the 20th Century and Has Depicted Liberty, Courage and Dignity of Human Beings",,,,Andrzej Wajda,,,,,,Poland,,,,,,,,,,,
kyoto_prize-000010,1988,,Kyoto Prize,"Kyoto Prize in Advanced Technology (Information Science) — Fundamental Contribution to the Field of Artificial Intelligence and the Invention of LISP , a Programming Language.",,,,John McCarthy,,,,,,United States,,,,,,,,,,,
kyoto_prize-000011,1988,,Kyoto Prize,Kyoto Prize in Basic Sciences (Cognitive science) — Creation of the Theory of Generative Grammar and Substantial Contribution to the Formation and Development of Cognitive Science,,,,Avram Noam Chomsky,,,,,,United States,,,,,,,,,,,
kyoto_prize-000012,1988,,Kyoto Prize,Kyoto Prize in Arts and Philosophy (Thought and ethics) — One of the Most Eminent Indologists of the 20th Century Who Made a Significant Contribution to the Comprehension of Indo-Aryan and the Ancient Indian Philosophy through His Detailed Studies of Vedic,,,,Paul Thieme,,,,,,West Germany,,,,,,,,,,,
kyoto_prize-000013,1989,,Kyoto Prize,"Kyoto Prize in Advanced Technology (Electronics) — Pioneering Contribution to the Electronic Switching Technology for Telecommunications, Especially that Based on the Concept of ' Stored Program Control '.",,,,"Amos E. Joel, Jr.",,,,,,United States,,,,,,,,,,,
kyoto_prize-000014,1989,,Kyoto Prize,"Kyoto Prize in Basic Sciences (Mathematical sciences) — Outstanding Contribution to Many Fields of Mathematical Sciences, Especially Pioneering Studies in Functional Analysis",,,,Izrail Moiseevich Gelfand,,,,,,Soviet Union,,,,,,,,,,,
kyoto_prize-000015,1989,,Kyoto Prize,"Kyoto Prize in Arts and Philosophy (Music) — A Composer Who Established a New Style of Contemporary Music by His New Concept of ""Chance Music"" and Non-Western Musical Thought",,,,John Cage,,,,,,United States,,,,,,,,,,,
kyoto_prize-000016,1990,,Kyoto Prize,Kyoto Prize in Advanced Technology (Biotechnology and Medical Technology) — Pioneering Contribution to Molecular Biology through Demonstration of Messenger RNA and Establishment of C. Elegans as an Experimental System for Developmental Biology.,,,,Sydney Brenner,,,,,,United Kingdom,,,,,,,,,,,
kyoto_prize-000017,1990,,Kyoto Prize,"Kyoto Prize in Basic Sciences (Biological sciences) — Long-Term Study of Behavior, Sociology, and Ecology of Chimpanzees in the Wild",,,,Jane Goodall,,,,,,United Kingdom,,,,,,,,,,,
kyoto_prize-000018,1990,,Kyoto Prize,Kyoto Prize in Arts and Philosophy (Arts) — An Architect Who Elicited a New Potentiality for Architecture by Lifting Technology to the Realm of Fine Art,,,,Renzo Piano,,,,,,Italy,,,,,,,,,,,
kyoto_prize-000019,1991,,Kyoto Prize,Kyoto Prize in Advanced Technology (Materials Science and Engineering) — Pioneering Contribution to Research and Development of Polymeric Materials by Discovering ' Living Polymerization '.,,,,Michael Szwarc,,,,,,United States,,,,,,,,,,,
