award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
lasker_awards-000001,1946,Albert Lasker Basic Medical Research Award,Lasker Award,"For contributions to the knowledge of carbohydrate metabolism, which clarify the action of insulin in diabetes.",,,,Carl Ferdinand Cori,,,,,,United States; Cisleithania,,,,,,,,,,,
lasker_awards-000002,1946,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,For the discovery of the RH factor as a cause of hemolytic disease of the newborn and of severe hemolysis arising from incompatible blood transfusions.,,,,Alexander S. Wiener,,,,,,United States,,,,,,,,,,,
lasker_awards-000003,1946,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,For pioneering the treatment of syphilis with penicillin.,,,,John Friend Mahoney,,,,,,United States,,,,,,,,,,,
lasker_awards-000004,1946,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,For the discovery of the RH factor as a cause of hemolytic disease of the newborn and of severe hemolysis arising from incompatible blood transfusions.,,,,Karl Landsteiner,,,,,,United States; Austria–Hungary,,,,,,,,,,,
lasker_awards-000005,1946,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,For the discovery of the RH factor as a cause of hemolytic disease of the newborn and of severe hemolysis arising from incompatible blood transfusions.,,,,Philip Levine,,,,,,United States; Russia,,,,,,,,,,,
lasker_awards-000006,1946,Lasker–Bloomberg Public Service Award,Lasker Award,"For organizing the Committee on Medical Research of the Office of Scientific Research and Development, and for supervising, during the war, the timely mass production of penicillin, the search for a better antimalarial drug, and the preparation of blood plasma.",,,,Alfred Newton Richards,,,,,,United States,,,,,,,,,,,
lasker_awards-000007,1946,Lasker–Bloomberg Public Service Award,Lasker Award,For administrative achievement in controlling yellow fever and malaria through a new principle of species eradication of insect carriers.,,,,Fred L. Soper,,,,,,United States,,,,,,,,,,,
lasker_awards-000008,1947,Albert Lasker Basic Medical Research Award,Lasker Award,For distinguished research on cardiovascular and renal physiology.,,,,Homer Smith,,,,,,United States,,,,,,,,,,,
lasker_awards-000009,1947,Albert Lasker Basic Medical Research Award,Lasker Award,For studies on the chemical constitution of bacteria.,,,,Oswald T. Avery,,,,,,United States,,,,,,,,,,,
lasker_awards-000010,1947,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,"For contributions to our knowledge of influenza, and the development of a vaccine effective against Types A and B, successfully used during World War II.",,,,Thomas Francis Jr.,,,,,,United States,,,,,,,,,,,
lasker_awards-000011,1947,Lasker–Bloomberg Public Service Award,Lasker Award,"For contributions to the prevention of occupational diseases, and the improvement of workers’ health.",,,,Alice Hamilton,,,,,,United States,,,,,,,,,,,
lasker_awards-000012,1948,Albert Lasker Basic Medical Research Award,Lasker Award,For studies of the antibiotic properties of soil bacteria leading to the discovery of streptomycin.,,,,René J. Dubos,,,,,,United States,,,,,,,,,,,
lasker_awards-000013,1948,Albert Lasker Basic Medical Research Award,Lasker Award,For studies of the antibiotic properties of soil bacteria leading to the discovery of streptomycin.,,,,Selman Waksman,,,,,,United States; Russia,,,,,,,,,,,
lasker_awards-000014,1948,Albert Lasker Basic Medical Research Award,Lasker Award,"For studies of transmethylation as essential to animal nutrition, and for contributions to the structure and synthesis of biotin and penicillin.",,,,Vincent du Vigneaud,,,,,,United States,,,,,,,,,,,
lasker_awards-000015,1948,Lasker–Bloomberg Public Service Award,Lasker Award,For administrative achievement in the organization and operation of the Emergency Maternal and Infant Care Program of the Children’s Bureau.,,,,Martha M. Eliot,,,,,,United States,,,,,,,,,,,
lasker_awards-000016,1948,Lasker–Bloomberg Public Service Award,Lasker Award,For scientific accomplishments in the field of microbiological research and for distinguished service as Director of the National Institutes of Health during the war and postwar years.,,,,R.E. Dyer,,,,,,United States,,,,,,,,,,,
