award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
max_planck_medal-000001,1929,,Max Planck Medal,,,,,Albert Einstein,1879-03-14,1879,Ulm,Germany,,United States; Switzerland; Germany,Male,University of Berlin,Berlin,Germany,,1955-04-18,Princeton,United States,,,
max_planck_medal-000002,1929,,Max Planck Medal,,,,,Max Planck,1858-04-23,1858,Kiel,Germany,,Germany,Male,University of Berlin,Berlin,Germany,,1947-10-04,Göttingen,Germany,,,
max_planck_medal-000003,1930,,Max Planck Medal,,,,,Niels Bohr,1885-10-07,1885,Copenhagen,Denmark,,Denmark,Male,University of Copenhagen,Copenhagen,Denmark,,1962-11-18,Copenhagen,Denmark,,,
max_planck_medal-000004,1931,,Max Planck Medal,,,,,Arnold Sommerfeld,1868-12-05,1868,Kaliningrad,Russia,,Germany,Male,University of Munich,Munich,Germany,,1951-04-26,Munich,Germany,,,
max_planck_medal-000005,1932,,Max Planck Medal,,,,,Max von Laue,1879-10-09,1879,Koblenz,Germany,,Germany,Male,University of Berlin,Berlin,Germany,,1960-04-24,Berlin,Germany,,,
max_planck_medal-000006,1933,,Max Planck Medal,,,,,Werner Heisenberg,1901-12-05,1901,Würzburg,Germany,,Germany,Male,University of Leipzig,Leipzig,Germany,,1976-02-01,Munich,Germany,,,
max_planck_medal-000007,1937,,Max Planck Medal,,,,,Erwin Schrödinger,1887-08-12,1887,Vienna,Austria,,Germany,Male,,,,,1961-01-04,Vienna,Austria,,,
max_planck_medal-000008,1938,,Max Planck Medal,,,,,Louis de Broglie,1892-08-15,1892,Dieppe,France,,France,Male,University of Paris,Paris,France,,1987-03-19,Louveciennes,France,,,
max_planck_medal-000009,1942,,Max Planck Medal,,,,,Pascual Jordan,1902-10-18,1902,Hanover,Germany,,Germany,Male,,,,,1980-07-31,Hamburg,Germany,,,
max_planck_medal-000010,1943,,Max Planck Medal,,,,,Friedrich Hund,1896-02-04,1896,Karlsruhe,Germany,,Germany,Male,University of Leipzig,Leipzig,Germany,,1997-03-31,Göttingen,Germany,,,
max_planck_medal-000011,1944,,Max Planck Medal,,,,,Walther Kossel,1888-01-04,1888,Berlin,Germany,,Germany,Male,,,,,1956-05-22,Tübingen,Germany,,,
max_planck_medal-000012,1948,,Max Planck Medal,,,,,Max Born,1882-12-11,1882,Wrocław,Poland,,United Kingdom; Germany,Male,University of Edinburgh,Edinburgh,United Kingdom,,1970-01-05,Göttingen,Germany,,,
max_planck_medal-000013,1949,,Max Planck Medal,,,,,Lise Meitner,1878-11-07,1878,Vienna,Austria,,Sweden; Austria,Female,,,,,1968-10-27,Cambridge,United Kingdom,,,
max_planck_medal-000014,1949,,Max Planck Medal,,,,,Otto Hahn,1879-03-08,1879,Frankfurt,Germany,,Germany,Male,,,,,1968-07-28,Göttingen,Germany,,,
max_planck_medal-000015,1950,,Max Planck Medal,,,,,Peter Debye,1884-03-24,1884,Maastricht,Netherlands,,United States; Netherlands,Male,Cornell University,Ithaca,United States,,1966-11-02,Ithaca,United States,,,
max_planck_medal-000016,1951,,Max Planck Medal,,,,,Gustav Hertz,1887-07-22,1887,Hamburg,Germany,,Germany,Male,,,,,1975-10-30,Berlin,Germany,,,
max_planck_medal-000017,1951,,Max Planck Medal,,,,,James Franck,1882-08-26,1882,Hamburg,Germany,,United States,Male,University of Chicago,Chicago,United States,,1964-05-21,Göttingen,Germany,,,
max_planck_medal-000018,1952,,Max Planck Medal,,,,,Paul Dirac,1902-08-08,1902,Bristol,United Kingdom,,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,,1984-10-20,Tallahassee,United States,,,
max_planck_medal-000019,1953,,Max Planck Medal,,,,,Walther Bothe,1891-01-08,1891,Oranienburg,Germany,,Germany,Male,,,,,1957-02-08,Heidelberg,Germany,,,
max_planck_medal-000020,1954,,Max Planck Medal,,,,,Enrico Fermi,1901-09-29,1901,Rome,Italy,,United States; Italy,Male,University of Chicago,Chicago,United States,,1954-11-28,Chicago,United States,,,
max_planck_medal-000021,1955,,Max Planck Medal,,,,,Hans Bethe,1906-07-02,1906,Strasbourg,France,,United States; Germany,Male,Cornell University,Ithaca,United States,,2005-03-06,Ithaca,United States,,,
max_planck_medal-000022,1956,,Max Planck Medal,,,,,Victor Weisskopf,1908-09-19,1908,Vienna,Austria,,United States,Male,Massachusetts Institute of Technology,Cambridge,United States,,2002-04-22,Newton,United States,,,
max_planck_medal-000023,1957,,Max Planck Medal,,,,,Carl Friedrich von Weizsäcker,1912-06-28,1912,Kiel,Germany,,Germany,Male,,,,,2007-04-28,Söcking,Germany,,,
max_planck_medal-000024,1958,,Max Planck Medal,,,,,Wolfgang Pauli,1900-04-25,1900,Vienna,Austria,,United States; Switzerland; Austria,Male,ETH Zurich,Zurich,Switzerland,,1958-12-15,Zurich,Switzerland,,,
max_planck_medal-000025,1959,,Max Planck Medal,,,,,Oskar Klein,1894-09-15,1894,Stockholm,Sweden,,Sweden,Male,Stockholm University,Stockholm,Sweden,,1977-02-05,Stockholm,Sweden,,,
max_planck_medal-000026,1960,,Max Planck Medal,,,,,Lev Landau,1908-01-22,1908,Baku,Azerbaijan,,Russia; Azerbaijan,Male,Institute for Physical Problems,Moscow,Russia,,1968-04-01,Moscow,Russia,,,
max_planck_medal-000027,1961,,Max Planck Medal,,,,,Eugene Wigner,1902-11-17,1902,Budapest,Hungary,,Hungary; United States,Male,Princeton University,Princeton,United States,,1995-01-01,Princeton,United States,,,
max_planck_medal-000028,1962,,Max Planck Medal,,,,,Ralph Kronig,1904-03-10,1904,Dresden,Germany,,Germany,Male,,,,,1995-11-16,Zeist,Netherlands,,,
