award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
fields-000001,2026,,Fields Medal,,1/4,,Individual,Yu Deng,1989,1989,Shenzhen,China,,China,Male,"University of Chicago, USA",,United States,,,,,,,
fields-000002,2026,,Fields Medal,,1/4,,Individual,John Pardon,1989,1989,Chapel Hill,United States,,United States,Male,"Simons Center for Geometry and Physics, Stony Brook University, USA",Stony Brook University,United States,,,,,,,
fields-000003,2026,,Fields Medal,,1/4,,Individual,Jacob Tsimerman,1988-04-26,1988,Kazan,Russia,,Canada,Male,"University of Toronto, Canada",,Canada,,,,,,,
fields-000004,2026,,Fields Medal,,1/4,,Individual,Hong Wang,1991,1991,Guilin,China,,China,Female,"New York University, USA; Institut des Hautes Études Scientifiques, France",; ,United States; France,,,,,,,
fields-000005,2022,,Fields Medal,,1/4,,Individual,Maryna Sergiivna Viazovska,1984-11-02,1984,Kyiv,Ukraine,,Ukraine,Female,"Swiss Federal Institute of Technology in Lausanne, Switzerland",,Switzerland,,,,,,,
fields-000006,2022,,Fields Medal,,1/4,,Individual,James Maynard,1987-06-10,1987,Chelmsford,United Kingdom,,United Kingdom,Male,"University of Oxford, UK",,United Kingdom,,,,,,,
fields-000007,2022,,Fields Medal,,1/4,,Individual,June Huh,1983-06-09,1983,Stanford,United States,,United States,Male,"Princeton University, USA",,United States,,,,,,,
fields-000008,2022,,Fields Medal,,1/4,,Individual,Hugo Duminil-Copin,1985-08-26,1985,Châtenay-Malabry,France,,France,Male,"University of Geneva, Switzerland",,Switzerland,,,,,,,
fields-000009,2018,,Fields Medal,,1/4,,Individual,Caucher Birkar,1978,1978,Marivan,Iran,,United Kingdom; Iran,Male,"University of Cambridge, UK",,United Kingdom,,,,,,,
fields-000010,2018,,Fields Medal,,1/4,,Individual,Alessio Figalli,1984-04-02,1984,Rome,Italy,,Italy,Male,"Swiss Federal Institute of Technology in Zurich, Switzerland",,Switzerland,,,,,,,
fields-000011,2018,,Fields Medal,,1/4,,Individual,Peter Scholze,1987-12-11,1987,Dresden,Germany,,Germany,Male,"Max Planck Institute for Mathematics in Bonn, Germany",,Germany,,,,,,,
fields-000012,2018,,Fields Medal,,1/4,,Individual,Akshay Venkatesh,1981-11-21,1981,New Delhi,India,,Australia,Male,"Princeton University's Institute for Advanced Studies, USA",,United States,,,,,,,
fields-000013,2014,,Fields Medal,,1/4,,Individual,Artur Avila Cordeiro de Melo,1979-06-29,1979,Rio de Janeiro,Brazil,,Brazil; France,Male,"CNRS - Institut de Mathématiques de Jussieu-Paris Rive Gauche, France",,France,,,,,,,
fields-000014,2014,,Fields Medal,,1/4,,Individual,Manjul Bhargava,1974-08-08,1974,Hamilton,Canada,,Canada; United States,Male,"Princeton University, USA",,United States,,,,,,,
fields-000015,2014,,Fields Medal,,1/4,,Individual,Martin Hairer,1975-11-14,1975,Geneva,Switzerland,,Austria,Male,"University of Warwick, UK",,United Kingdom,,,,,,,
fields-000016,2014,,Fields Medal,,1/4,,Individual,Maryam Mirzakhani,1977-05-12,1977,Tehran,Iran,,Iran,Female,"Stanford University, USA",,United States,,2017-07-14,Palo Alto,United States,,,
fields-000017,2010,,Fields Medal,,1/4,,Individual,Ngô Bao Châu,1972-06-28,1972,Hanoi,Vietnam,,Vietnam; France,Male,"Université Paris-Sud 11, France, and Institute for Advanced Study, USA",France,United States,,,,,,,
fields-000018,2010,,Fields Medal,,1/4,,Individual,Elon Lindenstrauss,1970-08-01,1970,Jerusalem,Israel,,Israel,Male,"Hebrew University of Jerusalem, Israel",,Israel,,,,,,,
fields-000019,2010,,Fields Medal,,1/4,,Individual,Stanislav K. Smirnov,1970-09-03,1970,Saint Petersburg,Russia,,Russia,Male,"University of Geneva, Switzerland",,Switzerland,,,,,,,
fields-000020,2010,,Fields Medal,,1/4,,Individual,Cédric Villani,1973-10-05,1973,Brive-la-Gaillarde,France,,France,Male,"École Normale Supérieure de Lyon and Institut Henri Poincaré, France",,France,,,,,,,
fields-000021,2006,,Fields Medal,,1/4,,Individual,Andrei Okounkov,1969-07-26,1969,Moscow,Russia,,Russia,Male,"Princeton University, USA",,United States,,,,,,,
fields-000022,2006,,Fields Medal,,1/4,,Individual,Grigori Perelman,1966-06-13,1966,Saint Petersburg,Russia,,Russia,Male,"St. Petersburg Department of the Steklov Institute of Mathematics, Russia",,Russia,,,,,,,Declined the prize
fields-000023,2006,,Fields Medal,,1/4,,Individual,Terence Tao,1975-07-17,1975,Adelaide,Australia,,Australia,Male,"University of California, USA",,United States,,,,,,,
fields-000024,2006,,Fields Medal,,1/4,,Individual,Wendelin Werner,1968-09-23,1968,Cologne,Germany,,France,Male,"Université Paris-Sud, France",,France,,,,,,,
fields-000025,2002,,Fields Medal,,1/2,,Individual,Laurent Lafforgue,1966-11-06,1966,Antony,France,,France,Male,"Institut des Hautes Études Scientifiques, France",,France,,,,,,,
fields-000026,2002,,Fields Medal,,1/2,,Individual,Vladimir Voevodsky,1966-06-04,1966,Moscow,Russia,,Russia,Male,"Institute for Advanced Study, USA",,United States,,2017-09-30,Princeton,United States,,,
fields-000027,1998,,Fields Medal,,1/4,,Individual,Richard E. Borcherds,1959-11-29,1959,Cape Town,South Africa,,United Kingdom,Male,"University of Cambridge, UK",,United Kingdom,,,,,,,
fields-000028,1998,,Fields Medal,,1/4,,Individual,W. Timothy Gowers,1963-11-20,1963,Marlborough,United Kingdom,,United Kingdom,Male,"University of Cambridge, UK",,United Kingdom,,,,,,,
fields-000029,1998,,Fields Medal,,1/4,,Individual,Maxim Kontsevich,1964-08-25,1964,Khimki,Russia,,Russia,Male,"Institut des Hautes Études Scientifiques, France",,France,,,,,,,
fields-000030,1998,,Fields Medal,,1/4,,Individual,Curtis T. McMullen,1958-05-21,1958,Berkeley,United States,,United States,Male,"Harvard University, USA",,United States,,,,,,,
fields-000031,1994,,Fields Medal,,1/4,,Individual,Jean Bourgain,1954-02-28,1954,Ostend,Belgium,,Belgium,Male,"Institut des Hautes Études Scientifiques, France",,France,,2018-12-22,Bonheiden,Belgium,,,
fields-000032,1994,,Fields Medal,,1/4,,Individual,Pierre-Louis Lions,1956-08-02,1956,Grasse,France,,France,Male,"Université de Paris-Dauphine, CEREMADE, France",CEREMADE,France,,,,,,,
fields-000033,1994,,Fields Medal,,1/4,,Individual,Jean-Christophe Yoccoz,1957-05-29,1957,Paris,France,,France,Male,"Université de Paris-Sud (Orsay), France",,France,,2016-09-03,Paris,France,,,
fields-000034,1994,,Fields Medal,,1/4,,Individual,Efim I. Zelmanov,1955-09-07,1955,Khabarovsk,Russia,,Russia,Male,"University of Wisconsin (now at the University of Chicago), USA",,United States,,,,,,,
