award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
gairdner_international_award-000001,1959,,Canada Gairdner International Award,"In recognition of his contributions to the knowledge of medicine and especially for outstanding achievement in developing an operation for the treatment of congenital heart lesions, thus introducing a new era in cardiac surgery.",,11256dce-99e3-4072-8044-31feafcb4f39,Individual,Alfred Blalock,,1899,,,,,Male,,,,,1964,,,,(1899–1964),
gairdner_international_award-000002,1959,,Canada Gairdner International Award,"In recognition of his contribution to the knowledge of rheumatology and especially for achievement in introducing an agglutination test which has become a valuable investigative procedure in differentiation of rheumatoid arthritis from other rheumatic dis­eases, thus revealing a hitherto unknown avenue for the investigation of their origin.",,3752b484-5556-4dd8-9e2b-38e26be0e8ec,Individual,Charles Ragan,,1910,,,,,Male,,,,,1976,,,,(1910–1976),
gairdner_international_award-000003,1959,,Canada Gairdner International Award,"In recognition of her contribution to the knowledge of pharmacology and especially for meritorious achievement in introducing the methonium compounds, which have played a valuable role in the treatment of hypertension.",,7c3c7f63-709c-4a73-83b1-2be32300bfbd,Individual,Eleanor Zaimis,,1915,,,,,Female,,,,,1982,,,,(1915–1982),
gairdner_international_award-000004,1959,,Canada Gairdner International Award,"In recognition of his contribution to the knowledge of rheumatology and especially for achievement in introducing an agglutination test which has become a valuable investigative procedure in differentiation of rheumatoid arthritis from other rheumatic dis­eases, thus revealing a hitherto unknown avenue for the investigation of their origin.",,efd9b2b4-def8-4c4d-9532-7539ec149774,Individual,Harry M. Rose,,1906,,,,,Male,,,,,1986,,,,(1906–1986),
gairdner_international_award-000005,1959,,Canada Gairdner International Award,In recognition of his contributions to the knowledge of cardiology and especially for his achievement in developing the hypothermia method of open heart surgery.,,ac91306d-611a-4f2f-bf3e-4442fd757ee4,Individual,Wilfred G. Bigelow,,1913,,,,,Male,,,,,2005,,,,(1913–2005),
gairdner_international_award-000006,1959,,Canada Gairdner International Award,"In recognition of his contribution to the knowledge of pharmacology and especially for meritorious achievement in introducing the methonium compounds, which have played a valuable role in the treatment of hypertension.",,90425101-e783-44fe-90c1-a76e7a849750,Individual,William D.M. Paton,,1917,,,,,Male,,,,,1993,,,,(1917–1993),
gairdner_international_award-000007,1960,,Canada Gairdner International Award,"In recognition of his contributions to the knowledge of pathology and immunology, and especially for his achievements in demonstrating the role of hypersensitivity in the production of certain tissue lesions, such as those found in various rheumatic and other diseases, thus introducing new methods for their further investigation.",,67c7749d-4d8e-4e31-9db0-9726ee533c4d,Individual,Arnold R. Rich,,1893,,,,,Male,,,,,1968,,,,(1893–1968),
gairdner_international_award-000008,1960,,Canada Gairdner International Award,"In recognition of his contributions to the knowledge of cardiology, and especially for his achievement in developing and using a heart-lung machine in the first successful surgical correction of a heart defect in a human patient, thus introducing new and practical means for prolonging life among persons with congenital and acquired heart defects.",,86096ada-d653-49ed-8ffb-8cecd52c32da,Individual,John H. Gibbon,,1903,,,,,Male,,,,,1973,,,,(1903–1973),
gairdner_international_award-000009,1960,,Canada Gairdner International Award,"In recognition of his contributions to the knowledge of cardiology and clinical physiology and especially for his achievements in the early application of cardiac catheterization technique to the measurement of cardiac pressure and output, thus making an important contribution to the understanding of heart failure.",,b754c7f6-b54a-4c29-9ab8-396623d569ca,Individual,John McMichael,,1904,,,,,Male,,,,,1993,,,,(1904–1993),
gairdner_international_award-000010,1960,,Canada Gairdner International Award,"In recognition of his contributions to the knowledge of pharmacology, cardiac-physiology and vaso-neurology, and especially for his achievements in elucidating the role of various drugs, noradrenaline and the sympathetic nervous system in the excitation and control of cardio-vascular disease.",,428844f0-f24f-4415-98cd-87daf7ef3fcc,Individual,Joshua H. Burn,,1892,,,,,Male,,,,,1981,,,,(1892–1981),
gairdner_international_award-000011,1960,,Canada Gairdner International Award,"In recognition of his contributions to the knowledge of physiology and pathology, and especially for his achievements in elucidating the chemical structure of the ground substance found in connective tissue, site of the inflammatory processes involved in the rheumatic diseases.",,a7ee4f60-6cb3-4933-86b4-58647bcb8d4e,Individual,Karl Meyer,,1884,,,,,Male,,,,,1974,,,,(1884–1974),
gairdner_international_award-000012,1960,,Canada Gairdner International Award,"In recognition of his many contributions to the knowledge of cardiac physiology, and especially for his achievement in developing the dye dilution technique for determining cardiac output, which has made possible many advances in the diagnosis and investigation of heart disease.",,ddef8aa2-d33d-4db4-a6c1-fee21f2730f8,Individual,William F. Hamilton,,1893,,,,,Male,,,,,1964,,,,(1893–1964),
gairdner_international_award-000013,1961,,Canada Gairdner International Award,"In recognition of his contributions to the knowledge of cardiovascular physiology and especially for his achievements in applying the basic laws of physics to the peripheral and pulmonary circulations, thus providing scientific explanation of the factors governing the collapse, the opening up, and the size of blood vessels which has also brought about an improved understanding of the behaviour of blood vessels in health and disease.",,092b9990-f295-43e2-9041-6d054da48af2,Individual,Alan C. Burton,,1904,,,,,Male,,,,,1979,,,,(1904–1979),
