award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
lasker_awards-000001,1946,Albert Lasker Basic Medical Research Award,Lasker Award,"For contributions to the knowledge of carbohydrate metabolism, which clarify the action of insulin in diabetes.",1/7,,Individual,Carl Ferdinand Cori,1896-12-29,1896,Prague,Czechia,,United States; Cisleithania,Male,,,,,1984-10-20,Brookline,United States,,,
lasker_awards-000002,1946,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,For the discovery of the RH factor as a cause of hemolytic disease of the newborn and of severe hemolysis arising from incompatible blood transfusions.,1/7,,Individual,Alexander S. Wiener,1910-03-21,1910,Brooklyn,United States,,United States,Male,,,,,1976-11-02,New York,United States,,,
lasker_awards-000003,1946,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,For pioneering the treatment of syphilis with penicillin.,1/7,,Individual,John Friend Mahoney,1889-02-03,1889,Plains,United States,,United States,Male,,,,,1957-09-07,Leesburg,United States,,,
lasker_awards-000004,1946,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,For the discovery of the RH factor as a cause of hemolytic disease of the newborn and of severe hemolysis arising from incompatible blood transfusions.,1/7,,Individual,Karl Landsteiner,1868-06-14,1868,Baden,Austria,,United States; Austria–Hungary,Male,,,,,1943-06-26,New York,United States,,,
lasker_awards-000005,1946,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,For the discovery of the RH factor as a cause of hemolytic disease of the newborn and of severe hemolysis arising from incompatible blood transfusions.,1/7,,Individual,Philip Levine,1915-06-23,1915,New York,United States,,United States; Russia,Male,,,,,1987-05-18,Rahway,United States,,,
lasker_awards-000006,1946,Lasker–Bloomberg Public Service Award,Lasker Award,"For organizing the Committee on Medical Research of the Office of Scientific Research and Development, and for supervising, during the war, the timely mass production of penicillin, the search for a better antimalarial drug, and the preparation of blood plasma.",1/7,,Individual,Alfred Newton Richards,1876-03-30,1876,Wadsworth,United States,,United States,Male,,,,,1957-04-04,Philadelphia,United States,,,
lasker_awards-000007,1946,Lasker–Bloomberg Public Service Award,Lasker Award,For administrative achievement in controlling yellow fever and malaria through a new principle of species eradication of insect carriers.,1/7,,Individual,Fred L. Soper,1893-07-13,1893,Laurandale,United States,,United States,Male,,,,,1977-01-15,Washington,United States,,,
lasker_awards-000008,1947,Albert Lasker Basic Medical Research Award,Lasker Award,For distinguished research on cardiovascular and renal physiology.,1/4,,Individual,Homer Smith,1892-01-02,1892,Schmitz,United States,,United States,Male,,,,,1962-03-25,New York,United States,,,
lasker_awards-000009,1947,Albert Lasker Basic Medical Research Award,Lasker Award,For studies on the chemical constitution of bacteria.,1/4,,Individual,Oswald T. Avery,1877-10-06,1877,Halifax,Canada,,United States,Male,,,,,1955-02-02,New York,United States,,,
lasker_awards-000010,1947,Lasker–DeBakey Clinical Medical Research Award,Lasker Award,"For contributions to our knowledge of influenza, and the development of a vaccine effective against Types A and B, successfully used during World War II.",1/4,,Individual,Thomas Francis Jr.,1896-11-11,1896,Le Roy,United States,,United States,Male,,,,,1983-03-17,Providence,United States,,,
