award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
shaw_prize-000001,2004,,Shaw Prize,"Shaw Prize in Astronomy — For his groundbreaking contribution to cosmology . He laid the foundations for almost all modern investigations in cosmology, both theoretical and observational , transforming a highly speculative field into a precision science.",1/6,Q728331,Individual,P. James E. Peebles,1935-04-25,,Winnipeg,Canada,,United States,Male,,,,,,,,,,
shaw_prize-000002,2004,,Shaw Prize,Shaw Prize in Life science and medicine — For their discoveries on DNA cloning and genetic engineering .,1/6,Q354878,Individual,Herbert W. Boyer,1936-07-10,,Derry,United States,,United States,Male,,,,,,,,,,
shaw_prize-000003,2004,,Shaw Prize,Shaw Prize in Life science and medicine — For his contribution to modern cancer epidemiology .,1/6,Q740803,Individual,Richard Doll,1912-10-28,,Hampton,United Kingdom,,United Kingdom,Male,,,,,,,,,,
shaw_prize-000004,2004,,Shaw Prize,Shaw Prize in Life science and medicine — For their discoveries on DNA cloning and genetic engineering .,1/6,Q741299,Individual,Stanley N. Cohen,1935-02-17,,Perth Amboy,United States,,United States,Male,,,,,,,,,,
shaw_prize-000005,2004,,Shaw Prize,Shaw Prize in Life science and medicine — For his discoveries on DNA polymorphism and its influence on human genetics .,1/6,Q2547334,Individual,Yuet-Wai Kan,1936-06-11,,Hong Kong,United Kingdom,,United States,Male,,,,,,,,,,
shaw_prize-000006,2004,,Shaw Prize,"Shaw Prize in Mathematical sciences — For his initiation of the field of global differential geometry and his continued leadership of the field, resulting in beautiful developments that are at the centre of contemporary mathematics, with deep connections to topology , algebra and analysis, in short, to all major branches of mathematics of the last sixty years.",1/6,Q328131,Individual,Shiing-Shen Chern (陳省身),1911-10-26,,Jiaxing,China,,China,Male,,,,,,,,,,
shaw_prize-000007,2005,,Shaw Prize,"Shaw Prize in Astronomy — For finding and characterizing the orbits and masses of the first planets around other stars , thereby revolutionizing our understanding of the processes that form planets and planetary systems .",1/4,Q736811,Individual,Geoffrey Marcy,1954-09-29,,St. Clair Shores,United States,,United States,Male,,,,,,,,,,
shaw_prize-000008,2005,,Shaw Prize,"Shaw Prize in Astronomy — For finding and characterizing the orbits and masses of the first planets around other stars , thereby revolutionizing our understanding of the processes that form planets and planetary systems .",1/4,Q123975,Individual,Michel Mayor,1942-01-12,,Lausanne,Switzerland,,Switzerland,Male,,,,,,,,,,
shaw_prize-000009,2005,,Shaw Prize,Shaw Prize in Life science and medicine — For his discoveries on calcium signalling in the regulation of cellular activity.,1/4,Q1499435,Individual,Michael Berridge,1938-10-22,,Kadoma,Zimbabwe,,United Kingdom,Male,,,,,,,,,,
shaw_prize-000010,2005,,Shaw Prize,Shaw Prize in Mathematical sciences — For his proof of Fermat's Last Theorem .,1/4,Q184433,Individual,Andrew John Wiles,1953-04-11,,Cambridge,United Kingdom,,United Kingdom,Male,,,,,,,,,,
