award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
shaw_prize-000001,2004,,Shaw Prize,"Shaw Prize in Astronomy — For his groundbreaking contribution to cosmology . He laid the foundations for almost all modern investigations in cosmology, both theoretical and observational , transforming a highly speculative field into a precision science.",,Q728331,Individual,P. James E. Peebles,1935-04-25,,Winnipeg,Canada,,United States,Male,,,,,,,,,,
shaw_prize-000002,2004,,Shaw Prize,Shaw Prize in Life science and medicine — For their discoveries on DNA cloning and genetic engineering .,,Q354878,Individual,Herbert W. Boyer,1936-07-10,,Derry,United States,,United States,Male,,,,,,,,,,
shaw_prize-000003,2004,,Shaw Prize,Shaw Prize in Life science and medicine — For his contribution to modern cancer epidemiology .,,Q740803,Individual,Richard Doll,1912-10-28,,Hampton,United Kingdom,,United Kingdom,Male,,,,,,,,,,
shaw_prize-000004,2004,,Shaw Prize,Shaw Prize in Life science and medicine — For their discoveries on DNA cloning and genetic engineering .,,Q741299,Individual,Stanley N. Cohen,1935-02-17,,Perth Amboy,United States,,United States,Male,,,,,,,,,,
shaw_prize-000005,2004,,Shaw Prize,Shaw Prize in Life science and medicine — For his discoveries on DNA polymorphism and its influence on human genetics .,,Q2547334,Individual,Yuet-Wai Kan,1936-06-11,,Hong Kong,United Kingdom,,United States,Male,,,,,,,,,,
shaw_prize-000006,2004,,Shaw Prize,"Shaw Prize in Mathematical sciences — For his initiation of the field of global differential geometry and his continued leadership of the field, resulting in beautiful developments that are at the centre of contemporary mathematics, with deep connections to topology , algebra and analysis, in short, to all major branches of mathematics of the last sixty years.",,Q328131,Individual,Shiing-Shen Chern (陳省身),1911-10-26,,Jiaxing,China,,China,Male,,,,,,,,,,
shaw_prize-000007,2005,,Shaw Prize,"Shaw Prize in Astronomy — For finding and characterizing the orbits and masses of the first planets around other stars , thereby revolutionizing our understanding of the processes that form planets and planetary systems .",,Q736811,Individual,Geoffrey Marcy,1954-09-29,,St. Clair Shores,United States,,United States,Male,,,,,,,,,,
shaw_prize-000008,2005,,Shaw Prize,"Shaw Prize in Astronomy — For finding and characterizing the orbits and masses of the first planets around other stars , thereby revolutionizing our understanding of the processes that form planets and planetary systems .",,Q123975,Individual,Michel Mayor,1942-01-12,,Lausanne,Switzerland,,Switzerland,Male,,,,,,,,,,
shaw_prize-000009,2005,,Shaw Prize,Shaw Prize in Life science and medicine — For his discoveries on calcium signalling in the regulation of cellular activity.,,Q1499435,Individual,Michael Berridge,1938-10-22,,Kadoma,Zimbabwe,,United Kingdom,Male,,,,,,,,,,
shaw_prize-000010,2005,,Shaw Prize,Shaw Prize in Mathematical sciences — For his proof of Fermat's Last Theorem .,,Q184433,Individual,Andrew John Wiles,1953-04-11,,Cambridge,United Kingdom,,United Kingdom,Male,,,,,,,,,,
shaw_prize-000011,2006,,Shaw Prize,"Shaw Prize in Astronomy — For discovering that the expansion rate of the universe is accelerating , implying in the simplest interpretation that the energy density of space is non-vanishing even in the absence of any matter and radiation.",,Q106454,Individual,Adam Riess,1969-12-16,,"Washington, D.C.",United States,,United States,Male,,,,,,,,,,
shaw_prize-000012,2006,,Shaw Prize,"Shaw Prize in Astronomy — For discovering that the expansion rate of the universe is accelerating , implying in the simplest interpretation that the energy density of space is non-vanishing even in the absence of any matter and radiation.",,Q201452,Individual,Brian Schmidt,1967-02-24,,Missoula,United States,,Australia,Male,,,,,,,,,,
shaw_prize-000013,2006,,Shaw Prize,"Shaw Prize in Astronomy — For discovering that the expansion rate of the universe is accelerating , implying in the simplest interpretation that the energy density of space is non-vanishing even in the absence of any matter and radiation.",,Q106949,Individual,Saul Perlmutter,1959-09-22,,Champaign,United States,,United States,Male,,,,,,,,,,
shaw_prize-000014,2006,,Shaw Prize,"Shaw Prize in Life science and medicine — For his discovery of the biochemical basis of programmed cell death , a vital process that balances cell birth and defends against cancer .",,,,Xiaodong Wang,,,,,,United States,,,,,,,,,,,
shaw_prize-000015,2006,,Shaw Prize,"Shaw Prize in Mathematical sciences — For David Mumford's contributions to mathematics, and to the new interdisciplinary fields of pattern theory and vision research ; and for Wentsun Wu's contributions to the new interdisciplinary field of mathematics mechanization.",,,,David Mumford,,,,,,United States,,,,,,,,,,,
shaw_prize-000016,2006,,Shaw Prize,"Shaw Prize in Mathematical sciences — For David Mumford's contributions to mathematics, and to the new interdisciplinary fields of pattern theory and vision research ; and for Wentsun Wu's contributions to the new interdisciplinary field of mathematics mechanization.",,Q926125,Individual,Wentsun Wu (吳文俊),1919-05-12,,Shanghai,China,,China,Male,,,,,,,,,,
shaw_prize-000017,2007,,Shaw Prize,Shaw Prize in Astronomy — In recognition of his lifetime achievements in theoretical astrophysics and planetary sciences .,,Q1351673,Individual,Peter Goldreich,1939-07-14,,New York City,United States,,United States,Male,,,,,,,,,,
shaw_prize-000018,2007,,Shaw Prize,Shaw Prize in Life science and medicine — For his relentless elucidation of the major receptor system that mediates the response of cells and organs to drugs and hormones .,,Q80910,Individual,Robert Lefkowitz,1943-04-15,,The Bronx,United States,,United States,Male,,,,,,,,,,
shaw_prize-000019,2007,,Shaw Prize,Shaw Prize in Mathematical sciences — For initiating and developing a grand unifying vision of mathematics that connects prime numbers with symmetry.,,,,Richard Taylor,,,,,,United Kingdom,,,,,,,,,,,
