award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
turing_award-000001,1966,,Turing Award,for his influence in the area of advanced computer programming techniques and compiler construction,,,,Alan Perlis,,,,,,United States,,,,,,,,,,,
turing_award-000002,1967,,Turing Award,"for contributions including being ""the builder and designer of the EDSAC, the second computer with an internally stored program "" and introducing program libraries (together with David Wheeler and Stanley Gill )",,,,Maurice Wilkes,,,,,,United Kingdom,,,,,,,,,,,
turing_award-000003,1968,,Turing Award,"for his work on numerical methods, automatic coding systems, and error-detecting and error-correcting codes ",,,,Richard Hamming,,,,,,United States,,,,,,,,,,,
turing_award-000004,1969,,Turing Award,"for his central role in creating, shaping, promoting, and advancing the field of artificial intelligence ",,,,Marvin Minsky,,,,,,United States,,,,,,,,,,,
turing_award-000005,1970,,Turing Award,"for his research in numerical analysis to facilitate the use of the high-speed digital computer, having received special recognition for his work in computations in linear algebra and 'backward' error analysis",,,,James H. Wilkinson,,,,,,United Kingdom,,,,,,,,,,,
turing_award-000006,1971,,Turing Award,"Award citation refers to McCarthy's lecture ""The Present State of Research on Artificial Intelligence",,,,John McCarthy,,,,,,United States,,,,,,,,,,,
turing_award-000007,1972,,Turing Award,"for fundamental contributions to programming as a high, intellectual challenge; for eloquent insistence and practical demonstration that programs should be composed correctly, not just debugged into correctness; for illuminating perception of problems at the foundations of program design",,,,Edsger W. Dijkstra,,,,,,Netherlands,,,,,,,,,,,
turing_award-000008,1973,,Turing Award,for his outstanding contributions to database technology,,,,Charles Bachman,,,,,,United States,,,,,,,,,,,
turing_award-000009,1974,,Turing Award,"for his major contributions to the analysis of algorithms and the design of programming languages, and in particular for his contributions to ' The Art of Computer Programming ' through his well-known books in a continuous series by this title",,,,Donald Knuth,,,,,,United States,,,,,,,,,,,
turing_award-000010,1975,,Turing Award,"in collaboration with J. C. Shaw and others, for ""basic contributions to artificial intelligence, the psychology of human cognition, and list processing.",,,,Allen Newell,,,,,,United States,,,,,,,,,,,
turing_award-000011,1975,,Turing Award,"in collaboration with J. C. Shaw and others, for ""basic contributions to artificial intelligence, the psychology of human cognition, and list processing.",,,,Herbert A. Simon,,,,,,United States,,,,,,,,,,,
turing_award-000012,1976,,Turing Award,"for their joint paper ' Finite automata and their decision problem', which introduced the idea of nondeterministic machines ",,,,Michael O. Rabin,,,,,,Israel,,,,,,,,,,,
turing_award-000013,1976,,Turing Award,"for their joint paper ' Finite automata and their decision problem', which introduced the idea of nondeterministic machines ",,,,Dana Scott,,,,,,United States,,,,,,,,,,,
turing_award-000014,1977,,Turing Award,"for profound, influential, and lasting contributions to the design of practical high-level programming systems, notably through his work on FORTRAN, and for seminal publication of formal procedures for the specification of programming languages ",,,,John Backus,,,,,,United States,,,,,,,,,,,
turing_award-000015,1978,,Turing Award,"for having a clear influence on methodologies for the creation of efficient and reliable software, and for helping to found the following important subfields of computer science: the theory of parsing, the semantics of programming languages, automatic program verification, automatic program synthesis, and analysis of algorithms ",,,,Robert W. Floyd,,,,,,United States,,,,,,,,,,,
turing_award-000016,1979,,Turing Award,"for his pioneering effort in programming languages and mathematical notation resulting in what the computing field now knows as APL, for his contributions to the implementation of interactive systems, to educational uses of APL, and to programming language theory and practice",,,,Kenneth E. Iverson,,,,,,Canada,,,,,,,,,,,
turing_award-000017,1980,,Turing Award,for his fundamental contributions to the definition and design of programming languages,,,,Tony Hoare,,,,,,United Kingdom,,,,,,,,,,,
turing_award-000018,1981,,Turing Award,for his fundamental and continuing contributions to the theory and practice of database management systems,,,,Edgar F. Codd,,,,,,United Kingdom; United States,,,,,,,,,,,
turing_award-000019,1982,,Turing Award,"for ""his advancement of our understanding of the complexity of computation in a significant and profound way""; the citation in particular mentions his paper ""The Complexity of Theorem Proving Procedures,"" which is credited with founding the theory of NP-completeness",,,,Stephen Cook,,,,,,United States; Canada,,,,,,,,,,,
turing_award-000020,1983,,Turing Award,for their development of generic operating systems theory and specifically for the implementation of the UNIX operating system,,,,Dennis Ritchie,,,,,,United States,,,,,,,,,,,
turing_award-000021,1983,,Turing Award,for their development of generic operating systems theory and specifically for the implementation of the UNIX operating system,,,,Ken Thompson,,,,,,United States,,,,,,,,,,,
turing_award-000022,1984,,Turing Award,"for developing a sequence of innovative computer languages, EULER, ALGOL-W, MODULA and PASCAL ",,,,Niklaus Wirth,,,,,,Switzerland,,,,,,,,,,,
turing_award-000023,1985,,Turing Award,"for his continuing contributions to the theory of algorithms including the development of efficient algorithms for network flow and other combinatorial optimization problems, the identification of polynomial-time computability with the intuitive notion of algorithmic efficiency, and, most notably, contributions to the theory of NP-completeness ",,,,Richard M. Karp,,,,,,United States,,,,,,,,,,,
turing_award-000024,1986,,Turing Award,for fundamental achievements in the design and analysis of algorithms and data structures,,,,John Hopcroft,,,,,,United States,,,,,,,,,,,
turing_award-000025,1986,,Turing Award,for fundamental achievements in the design and analysis of algorithms and data structures,,,,Robert Tarjan,,,,,,United States,,,,,,,,,,,
turing_award-000026,1987,,Turing Award,"for significant contributions in the design and theory of compilers, the architecture of large systems and the development of reduced instruction set computers (RISC); for discovering and systematizing many fundamental transformations now used in optimizing compilers including reduction of operator strength, elimination of common subexpressions, register allocation, constant propagation, and dead code elimination ",,,,John Cocke,,,,,,United States,,,,,,,,,,,
turing_award-000027,1988,,Turing Award,"for his pioneering and visionary contributions to computer graphics, starting with Sketchpad, and continuing after",,,,Ivan Sutherland,,,,,,United States,,,,,,,,,,,
turing_award-000028,1989,,Turing Award,"for his fundamental contributions to numerical analysis "" and as ""one of the foremost experts on floating-point computations ",,,,William Kahan,,,,,,Canada,,,,,,,,,,,
turing_award-000029,1990,,Turing Award,"for his pioneering work organizing the concepts and leading the development of the general-purpose, large-scale, time-sharing and resource-sharing computer systems, CTSS and Multics ",,,,Fernando J. Corbató,,,,,,United States,,,,,,,,,,,
turing_award-000030,1991,,Turing Award,The award citation mentions three primary contributions: his mechanization of the Logic of Computable Functions; the programming language ML including its type inference and type safety; the calculus of communicating systems; as well as the connection between operational and denotational semantics,,,,Robin Milner,,,,,,United Kingdom,,,,,,,,,,,
turing_award-000031,1992,,Turing Award,"for contributions to the development of distributed, personal computing environments and the technology for their implementation: workstations, networks, operating systems, programming systems, displays, security and document publishing ",,,,Butler Lampson,,,,,,United States,,,,,,,,,,,
turing_award-000032,1993,,Turing Award,in recognition of their seminal paper which established the foundations for the field of computational complexity theory ,,,,Juris Hartmanis,,,,,,Latvia; United States,,,,,,,,,,,
turing_award-000033,1993,,Turing Award,in recognition of their seminal paper which established the foundations for the field of computational complexity theory ,,,,Richard E. Stearns,,,,,,United States,,,,,,,,,,,
turing_award-000034,1994,,Turing Award,"for pioneering the design and construction of large scale artificial intelligence systems, demonstrating the practical importance and potential commercial impact of artificial intelligence technology",,,,Edward Feigenbaum,,,,,,United States,,,,,,,,,,,
turing_award-000035,1994,,Turing Award,"for pioneering the design and construction of large scale artificial intelligence systems, demonstrating the practical importance and potential commercial impact of artificial intelligence technology",,,,Raj Reddy,,,,,,India; United States,,,,,,,,,,,
turing_award-000036,1995,,Turing Award,in recognition of his contributions to the foundations of computational complexity theory and its application to cryptography and program checking ,,,,Manuel Blum,,,,,,United States,,,,,,,,,,,
turing_award-000037,1996,,Turing Award,for seminal work introducing temporal logic into computing science and for outstanding contributions to program and system verification ,,,,Amir Pnueli,,,,,,Israel,,,,,,,,,,,
turing_award-000038,1997,,Turing Award,for an inspiring vision of the future of interactive computing and the invention of key technologies to help realize this vision,,,,Douglas Engelbart,,,,,,United States,,,,,,,,,,,
turing_award-000039,1998,,Turing Award,for seminal contributions to database and transaction processing research and technical leadership in system implementation,,,,Jim Gray,,,,,,United States,,,,,,,,,,,
turing_award-000040,1999,,Turing Award,"for landmark contributions to computer architecture, operating systems, and software engineering",,,,Fred Brooks,,,,,,United States,,,,,,,,,,,
turing_award-000041,2000,,Turing Award,"in recognition of his fundamental contributions to the theory of computation, including the complexity-based theory of pseudorandom number generation, cryptography, and communication complexity ",,,,Andrew Yao,,,,,,China; United States; Taiwan,,,,,,,,,,,
turing_award-000042,2001,,Turing Award,"for ideas fundamental to the emergence of object-oriented programming, through their design of the programming languages Simula I and Simula 67 ",,,,Ole-Johan Dahl,,,,,,Norway,,,,,,,,,,,
turing_award-000043,2001,,Turing Award,"for ideas fundamental to the emergence of object-oriented programming, through their design of the programming languages Simula I and Simula 67 ",,,,Kristen Nygaard,,,,,,Norway,,,,,,,,,,,
turing_award-000044,2002,,Turing Award,for their ingenious contribution for making public-key cryptography useful in practice,,,,Leonard Adleman,,,,,,United States,,,,,,,,,,,
turing_award-000045,2002,,Turing Award,for their ingenious contribution for making public-key cryptography useful in practice,,,,Ron Rivest,,,,,,United States,,,,,,,,,,,
turing_award-000046,2002,,Turing Award,for their ingenious contribution for making public-key cryptography useful in practice,,,,Adi Shamir,,,,,,Israel,,,,,,,,,,,
turing_award-000047,2003,,Turing Award,"for pioneering many of the ideas at the root of contemporary object-oriented programming languages, leading the team that developed Smalltalk, and for fundamental contributions to personal computing",,,,Alan Kay,,,,,,United States,,,,,,,,,,,
turing_award-000048,2004,,Turing Award,"for pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking",,,,Vint Cerf,,,,,,United States,,,,,,,,,,,
turing_award-000049,2004,,Turing Award,"for pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking",,,,Robert Kahn,,,,,,United States,,,,,,,,,,,
turing_award-000050,2005,,Turing Award,"for fundamental contributions to programming language design and the definition of ALGOL 60, to compiler design, and to the art and practice of computer programming",,,,Peter Naur,,,,,,Denmark,,,,,,,,,,,
turing_award-000051,2006,,Turing Award,for pioneering contributions to the theory and practice of optimizing compiler techniques that laid the foundation for modern optimizing compilers and automatic parallel execution ,,,,Frances Allen,,,,,,United States,,,,,,,,,,,
turing_award-000052,2007,,Turing Award,for their role in developing model checking into a highly effective verification technology that is widely adopted in the hardware and software industries,,,,Edmund M. Clarke,,,,,,United States,,,,,,,,,,,
turing_award-000053,2007,,Turing Award,for their role in developing model checking into a highly effective verification technology that is widely adopted in the hardware and software industries,,,,E. Allen Emerson,,,,,,United States,,,,,,,,,,,
turing_award-000054,2007,,Turing Award,for their role in developing model checking into a highly effective verification technology that is widely adopted in the hardware and software industries,,,,Joseph Sifakis,,,,,,Greece; France,,,,,,,,,,,
turing_award-000055,2008,,Turing Award,"for contributions to practical and theoretical foundations of programming language and system design, especially related to data abstraction, fault tolerance, and distributed computing ",,,,Barbara Liskov,,,,,,United States,,,,,,,,,,,
turing_award-000056,2009,,Turing Award,"for the pioneering design and realization of the first modern personal computer—the Alto at Xerox PARC —and seminal inventions and contributions to local area networks (including the Ethernet ), multiprocessor workstations, snooping cache coherence protocols, and tablet personal computers ",,,,Charles P. Thacker,,,,,,United States,,,,,,,,,,,
turing_award-000057,2010,,Turing Award,"for transformative contributions to the theory of computation, including the theory of probably approximately correct (PAC) learning, the complexity of enumeration and of algebraic computation, and the theory of parallel and distributed computing",,,,Leslie Valiant,,,,,,United Kingdom; United States,,,,,,,,,,,
turing_award-000058,2011,,Turing Award,for fundamental contributions to artificial intelligence through the development of a calculus for probabilistic and causal reasoning,,,,Judea Pearl,,,,,,United States,,,,,,,,,,,
turing_award-000059,2012,,Turing Award,"for transformative work that laid the complexity-theoretic foundations for the science of cryptography, and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory",,,,Shafi Goldwasser,,,,,,United States; Israel,,,,,,,,,,,
turing_award-000060,2012,,Turing Award,"for transformative work that laid the complexity-theoretic foundations for the science of cryptography, and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory",,,,Silvio Micali,,,,,,United States,,,,,,,,,,,
turing_award-000061,2013,,Turing Award,"for fundamental contributions to the theory and practice of distributed and concurrent systems, notably the invention of concepts such as causality and logical clocks, safety and liveness, replicated state machines, and sequential consistency ",,,,Leslie Lamport,,,,,,United States,,,,,,,,,,,
turing_award-000062,2014,,Turing Award,for fundamental contributions to the concepts and practices underlying modern database systems,,,,Michael Stonebraker,,,,,,United States,,,,,,,,,,,
turing_award-000063,2015,,Turing Award,"for inventing and promulgating both asymmetric public-key cryptography, including its application to digital signatures, and a practical cryptographic key-exchange method",,,,Whitfield Diffie,,,,,,United States,,,,,,,,,,,
turing_award-000064,2015,,Turing Award,"for inventing and promulgating both asymmetric public-key cryptography, including its application to digital signatures, and a practical cryptographic key-exchange method",,,,Martin Hellman,,,,,,United States,,,,,,,,,,,
turing_award-000065,2016,,Turing Award,"for inventing the World Wide Web, the first web browser, and the fundamental protocols and algorithms allowing the Web to scale",,,,Tim Berners-Lee,,,,,,United Kingdom,,,,,,,,,,,
turing_award-000066,2017,,Turing Award,"for pioneering a systematic, quantitative approach to the design and evaluation of computer architectures with enduring impact on the microprocessor industry",,,,John L. Hennessy,,,,,,United States,,,,,,,,,,,
turing_award-000067,2017,,Turing Award,"for pioneering a systematic, quantitative approach to the design and evaluation of computer architectures with enduring impact on the microprocessor industry",,,,David Patterson,,,,,,United States,,,,,,,,,,,
