award_record_id,year,category,prize,motivation,prize_share,source_laureate_id,laureate_type,full_name,birth_date,birth_year,birth_city,birth_country,birth_coordinates,citizenship_countries,sex,affiliation_name,affiliation_city,affiliation_country,affiliation_coordinates,death_date,death_city,death_country,field_language,biographical_note,remarks
wolf_prize-000001,1978,Agriculture,Wolf Prize,for his outstanding research on the genetic amelioration of maize for human welfare.,,,Individual,George F. Sprague,,,,United States,,United States,Male,,,,,,,,,,
wolf_prize-000002,1978,Agriculture,Wolf Prize,"for his research in plant pathology, developing of disease-resistant varieties of major food plants.",,,Individual,John Charles Walker,,,,United States,,United States,Male,,,,,,,,,,
wolf_prize-000003,1978,Chemistry,Wolf Prize,"for his work in bioorganic chemistry, application of new spectroscopic techniques, and his support of international cooperation.",,,Individual,Carl Djerassi,,,,Austria,,Austria,Male,,,,,,,,,,
wolf_prize-000004,1978,Mathematics,Wolf Prize,"in recognition of his contributions to the theory of numbers, theory of several complex variables, and celestial mechanics.",,,Individual,Carl L. Siegel,1896-12-31,1896,Berlin,Germany,,Germany,Male,,,,,1981-04-04,Göttingen,Germany,,,
wolf_prize-000005,1978,Mathematics,Wolf Prize,"for his work on functional analysis, group representation, and for his seminal contributions to many areas of mathematics and its applications.",,,Individual,Israel Gelfand,1913-09-02,1913,Okny,Ukraine,,Soviet Union,Male,Moscow State University,Moscow,Russia,,2009-10-05,New Brunswick,United States,,,
wolf_prize-000006,1978,Medicine,Wolf Prize,"for discovery of H-2 antigens, which codes for major transplantation antigens and the onset of the immune response.",,,Individual,George D. Snell,,,,United States,,United States,Male,,,,,,,,,,
wolf_prize-000007,1978,Medicine,Wolf Prize,"for discovering the HL-A system, the major histocompatibility complex in man and its primordial role in organ transplantation.",,,Individual,Jean Dausset,,,,France,,France,Male,,,,,,,,,,
wolf_prize-000008,1978,Medicine,Wolf Prize,for his contribution to the understanding of the complexity of the HL-A system in man and its implications in transplantation and in disease.,,,Individual,Jon J. van Rood,,,,Netherlands,,Netherlands,Male,,,,,,,,,,
wolf_prize-000009,1978,Physics,Wolf Prize,for her persistent and successful exploration of the weak interaction which helped establish the precise form and the non conservation of parity for this new natural force.,,,Individual,Chien-Shiung Wu,1912-05-31,1912,Liuhe,China,,United States,Female,Columbia University,New York,United States,,1997-02-16,New York City,United States,,,
wolf_prize-000010,1979,Agriculture,Wolf Prize,for his outstanding and pioneering contributions to the application of genetics to livestock improvement.,,,Individual,Jay L. Lush,,,,United States,,United States,Male,,,,,,,,,,
wolf_prize-000011,1979,Agriculture,Wolf Prize,for his fundamental contributions to the science and practice of ruminant nutrition and livestock production.,,,Individual,Kenneth Blaxter,,,,United Kingdom,,United Kingdom,Male,,,,,,,,,,
wolf_prize-000012,1979,Chemistry,Wolf Prize,for his contributions to understanding the structure and behavior of natural and synthetic polymers.,,,Individual,Herman Mark,,,,Austria,,Austria,Male,,,,,,,,,,
wolf_prize-000013,1979,Mathematics,Wolf Prize,for his inspired introduction of algebro-geometry to the theory of numbers.,,,Individual,André Weil,1906-05-06,1906,Paris,France,,France,Male,Institute for Advanced Study,Princeton,United States,,1998-08-06,Princeton,United States,,,
wolf_prize-000014,1979,Mathematics,Wolf Prize,for pioneering work on the development and application of topological methods to the study of differential equations.,,,Individual,Jean Leray,1906-11-07,1906,Nantes,France,,France,Male,Collège de France,Paris,France,,1998-11-10,La Baule,France,,,
wolf_prize-000015,1979,Medicine,Wolf Prize,for his work which established the role of dopamine as a neurotransmitter.,,,Individual,Arvid Carlsson,,,,Sweden,,Sweden,Male,,,,,,,,,,
wolf_prize-000016,1979,Medicine,Wolf Prize,for opening a new approach in the control of Parkinson's disease by L-Dopa.,,,Individual,Oleh Hornykiewicz,,,,Ukraine,,Austria,Male,,,,,,,,,,
wolf_prize-000017,1979,Medicine,Wolf Prize,for his studies on the functional differentiation of the right and left hemispheres of the brain.,,,Individual,Roger Wolcott Sperry,,,,United States,,United States,Male,,,,,,,,,,
wolf_prize-000018,1979,Physics,Wolf Prize,"for his discovery, jointly with the late Samuel A .Goudsmit, of the electron spin.",,,Individual,George E. Uhlenbeck,1900-12-06,1900,Jakarta,Indonesia,,United States,Male,Rockefeller University,New York,United States,,1988-10-31,Boulder,United States,,,
wolf_prize-000019,1979,Physics,Wolf Prize,for his contributions to the discovery of electron pair production and of the charged pion.,,,Individual,Giuseppe Occhialini,1907-12-05,1907,Fossombrone,Italy,,Italy,Male,University of Milan,Milan,Italy,,1993-12-30,Paris,France,,,
wolf_prize-000020,1980,Agriculture,Wolf Prize,for his pioneering and wide-ranging studies on interactions between insects and disease agents in plants.,,,Individual,Karl Maramorosch,,,,Austria,,United States,Male,,,,,,,,,,
